ALPORT-MOOR-ALPORT-CASTLE-NO-42,,,,,,,,,,,,,,,,,,,,
Grid ref,SK133915,Long,-1.8013424,Lat,53.420135,Elevation,955,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.22,2.29,3.6,3.39,5.28,2.37,5.72,5.72,4.64,,,,,
February,,,,,,,4.08,3.53,5.11,4.33,5.99,6.57,2.09,1.78,3.44,,,,,
March,,,,,,,4.12,5.08,4.99,5.53,1.43,4.19,6.75,6.4,7.18,,,,,
April,,,,,,,1.96,3.97,3.55,3.32,6.26,4.57,1.83,5.11,2.51,,,,,
May,,,,,,,3.85,5.72,3.57,2.88,4.08,1.39,3.72,3.28,3.35,,,,,
June,,,,,,,1.82,8.75,2.49,4.37,3.93,4.42,4.77,2.89,4.83,,,,,
July,,,,,,,3.47,3.35,6.01,6.48,5.84,0.68,6.95,1.51,5.17,,,,,
August,,,,,,,4.69,5.06,4.67,3.28,6.9,2.81,9.5,2.41,3.94,,,,,
September,,,,,,,2.03,0.9,3.96,3.25,0.5,3.32,3.95,3.11,4.17,,,,,
October,,,,,,,7.78,8.42,1.85,7.06,3.81,4.78,4.52,5.19,4.12,,,,,
November,,,,,,,7.42,4.98,4.35,2.08,6.9,6.08,4.14,5.92,7.19,,,,,
December,,,,,,,5.68,5.05,3.56,9.29,8.33,9.39,8.29,3.94,9.06,,,,,
Total,53.27,50.51,40.19,56.7,39.62,42.92,53.12,57.1,47.71,55.26,59.25,50.57,62.23,47.26,59.6,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Alport Castles Farm where there is a benchmark that matches the stated altitude. Gauge could be up to 250m N or S,,,,,,,,,,,,,,,,,,,,
