"SELKIRK BOWHILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5060/2,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,3.34,2.03,4.13,5.49,1.55,4.19,1.04,7.63,3.58,1.89,,
February,2.89,3.50,4.68,1.19,1.36,1.26,5.60,2.63,1.71,2.88,,
March,1.12,2.13,3.20,3.29,1.42,1.17,4.41,1.98,0.80,2.61,,
April,0.80,3.89,3.11,0.71,2.07,0.73,4.28,3.54,2.57,1.97,,
May,2.63,1.05,3.21,2.23,1.21,1.37,1.00,2.23,4.15,1.78,,
June,2.10,3.37,3.16,0.81,1.46,2.80,3.35,2.51,2.73,3.83,,
July,1.25,3.16,3.72,4.66,3.83,3.28,1.40,4.55,0.83,3.63,,
August,1.43,2.74,4.23,3.97,5.06,1.88,3.52,7.13,4.59,3.54,,
September,2.10,1.73,5.49,2.33,2.49,3.77,3.51,1.87,3.88,2.56,,
October,3.79,2.83,4.88,4.56,4.66,3.96,3.59,4.09,2.50,1.41,,
November,1.08,1.92,5.34,2.04,4.47,3.51,3.33,3.90,4.17,1.53,,
December,2.53,2.88,4.78,1.32,3.53,3.20,6.59,1.79,2.37,2.10,,
Total,25.06,31.23,49.93,32.60,33.11,31.12,41.62,43.85,33.88,29.73,,
Calc annual,25.06,31.23,49.93,32.60,33.11,31.12,41.62,43.85,33.88,29.73,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
