BOWHILL SELKIRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT428278,Long,-2.90796,Lat,55.540546,Elevation,537,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5060/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.6,2.15,4.3,4.33,2.38,3.48,4.19,1.58,2.77,6.38,3.65,4.1,4.3,3.34,2.03,4.13,5.49,1.55,4.19,1.04,7.63,3.58,1.89,1.12,0.85,2.11,4.09,4.26,2.93,4.12,2.55,1.6,1.2,5.2,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.4,4.83,3.12,2.14,4.17
February,,,,,,,,1.5,0.86,2.76,2.76,2.81,1.35,1.72,1.73,1.57,4.6,1.97,4.97,2.99,2.89,3.5,4.68,1.19,1.36,1.26,5.6,2.63,1.71,2.88,3.52,2.61,2.71,3.71,4.16,4.15,1.35,0.51,1.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,1.8,3.69,3.3,0.81,4.09
March,,,,,,,,3.39,1.83,3.06,3.33,3.45,4.01,2.49,3.33,1.45,1.89,2.43,4.04,1,1.12,2.13,3.2,3.29,1.42,1.17,4.41,1.98,0.8,2.61,1.96,2.98,3.58,3.19,2.35,1.35,3.45,1.87,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.61,1.71,2.16,1.68,1.74,1.98
April,,,,,,,,1.07,1.04,1.93,1.15,1.23,1.9,2.9,0.77,0.63,1.1,2.88,2.3,1.43,0.8,3.89,3.11,0.71,2.07,0.73,4.28,3.54,2.57,1.97,3.78,1.02,3.86,2.08,1.86,2.37,2.21,1.61,2.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.6,0.79,1.03,1.57,3,2.3
May,,,,,,,,1.78,2.86,0.18,2.5,0.6,3.5,1.43,2.35,3.17,1.51,2.59,2.22,2.93,2.63,1.05,3.21,2.23,1.21,1.37,1,2.23,4.15,1.78,0.95,3.23,2.02,1.23,1.96,2.89,4.49,1.31,1.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,2.15,1.17,1.69,2.41,0.88,2
June,,,,,,,,3.57,0.66,1.73,5.5,3.06,4.74,4.1,2.1,1.1,1.5,1.57,1.1,1.4,2.1,3.37,3.16,0.81,1.46,2.8,3.35,2.51,2.73,3.83,0.87,3.46,5.84,3.01,0.46,0.5,1.05,0.76,2.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,1.08,2.17,1.32,3.27,2.26,1.03
July,,,,,,,,1.2,2.86,2.01,1.36,5.67,2.71,1.5,1.3,2.13,3.16,5.18,0.33,0.54,1.25,3.16,3.72,4.66,3.83,3.28,1.4,4.55,0.83,3.63,3.66,2.54,4.86,4.32,5.52,1.44,3.06,2.92,4.8,3.7,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,2.04,4.21,3.4,5.52,2.52,2.59
August,,,,,,,,1.44,1.9,0.91,2.36,3.53,4.98,2.17,0.88,3.13,3.65,3.68,3.75,1.04,1.43,2.74,4.23,3.97,5.06,1.88,3.52,7.13,4.59,3.54,0.63,4.83,2.7,2.81,1.25,2.04,1.2,1.68,2.3,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,0.8,8.68,5.55,2.98,0.78,4.41
September,,,,,,,,3.45,4.78,2.13,1.07,3.37,2.16,4.38,3.49,0.45,3.76,1.96,3.6,5.12,2.1,1.73,5.49,2.33,2.49,3.77,3.51,1.87,3.88,2.56,3.62,3.19,2.01,3.26,2.06,3.5,3.14,4.96,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,1.73,2.43,1.9,2.75,1.03,1.73
October,,,,,,,0.7,1.26,4.9,2.17,2.16,4.14,5.03,3.16,5.25,5.9,1.79,2.97,2.98,1.07,3.79,2.83,4.88,4.56,4.66,3.96,3.59,4.09,2.5,1.41,2.05,3.38,2.65,3.05,1.1,3.16,5.05,1.71,2.4,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,1.85,1.96,3.13,2.32,3.24,3.65
November,,,,,,,1.19,2.29,2.15,3.42,2.54,2.51,0.92,3.26,3.26,3.33,1.4,0.25,3,2.43,1.08,1.92,5.34,2.04,4.47,3.51,3.33,3.9,4.17,1.53,4.62,5.09,3.97,2.84,2.11,1.33,3.65,1.4,5.4,1,,3.02,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,1.63,1.08,1.2,0.68,6.06,3.92
December,,,,,,,4.79,1.8,2.35,3.84,3.48,3.46,4.49,1.96,2.78,3.06,2.45,2.25,4.52,3.75,2.53,2.88,4.78,1.32,3.53,3.2,6.59,1.79,2.37,2.1,2.96,2.8,2.94,1.22,3.55,1,2.84,2.6,3.4,3,,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,5.18,4.13,2.96,4.89,3.97,3.88
