TOPSHAM-ALTAMIRA,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX969880,Long,-3.46024,Lat,50.6825,Elevation,50,ft,,,,,,,,,,,,,
Station no,1767,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.96,1.6,3.83,4.42,4.79,1.85,4.42,1.47,5.11,2.23,2.59,1.93,2.3,0.64,4.8,6.59,3.36,,
February,,,2.06,7.65,1.56,4.38,2.44,4.38,2.67,2.3,1.9,1.8,0,4.04,0.15,3.3,3.65,5.72,0.8,,
March,,,3.41,1.33,1.32,0.19,0.47,3.41,3.79,0.08,2.27,1.52,2.15,2.99,2.77,1.5,3.37,3.81,0.17,,
April,,,2.73,2.57,3.03,2.64,1.74,1.64,1.19,0.8,2.72,3.06,2.1,1.67,3.02,3.7,2.53,2.59,0.12,,
May,,,0.48,1.19,4.26,4.45,0.56,0.32,1.6,2.01,1.11,2.52,3.49,2.02,1.03,1.95,0.9,2.42,,,
June,,,0.53,0.42,2.63,0.01,2.88,2.18,1.72,2.45,0.08,2.5,3.1,2.4,1.48,2.98,1.87,0.91,,,
July,,,2.72,0.59,4.43,2.45,0.48,3.12,1.02,1.3,1.16,3.7,2.83,2.09,0.41,-999,7.21,1.03,,,
August,,,3.31,2.31,2.49,1.61,0.23,2.71,1.62,1.28,3.26,3.52,1.38,0.72,3.33,1.58,0.11,1.13,,,
September,,,2.85,2.58,3.98,3.1,1.57,4.62,1.57,0.33,3.54,1.29,3.94,2.41,2.15,2.27,2.42,3.09,,,
October,,,1.1,4.84,4.87,3.18,3.53,1.74,4.83,4.8,2.63,0.28,5.66,1.96,1.65,3.2,1.44,3.23,,,
November,,,1.93,2.13,3.66,3.36,6.39,2.9,3.05,9.42,4.78,4.78,2.4,0.5,1.28,3.3,2.13,2.64,,,
December,,,5.79,2.81,5.82,4.02,0.54,3.49,2.78,7.34,3.39,1.52,2.62,3.09,10.16,4.35,2.93,2.93,,,
Total,,,30.87,30.02,41.88,33.81,25.62,32.36,30.26,33.58,31.95,28.72,32.26,25.82,29.73,,33.36,36.09,,,
,,,,,,,,,,,,,,,,,,,,,
Elevation originally given as 50ft but changed to 120ft which is too high so used 50ft,,,,,,,,,,,,,,,,,,,,,
1927 Total adjusted as doesn't match total of monthly figures and new total is as printed in BR,,,,,,,,,,,,,,,,,,,,,
1928 Nov New gauge,,,,,,,,,,,,,,,,,,,,,
1935 BR printed total 30.17 July value might be incorrect so set to -999,,,,,,,,,,,,,,,,,,,,,
1938 Observer moved ,,,,,,,,,,,,,,,,,,,,,
