GAINSBOROUGH - NORTH SANDSFIELD HOUSE,,,,,,,,,,,
Grid ref,SK814913,Long,-0.777,Lat,53.412,Elevation,23,ft,,,
Station no,RR4254,,,,,,,,,,
,,,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914
January,1.50,0.64,2.44,0.65,0.62,0.85,1.42,0.96,2.98,3.35,0.91
February,2.33,0.48,2.22,1.18,2.03,0.47,1.51,0.78,1.10,0.61,0.48
March,1.70,1.93,1.29,1.08,2.70,2.65,0.77,1.18,2.47,2.39,1.75
April,1.15,1.69,0.73,1.92,1.99,1.93,1.40,0.90,0.21,2.17,0.61
May,2.22,0.49,1.82,3.09,1.71,1.06,2.10,0.99,2.41,1.76,1.61
June,0.34,1.43,1.50,2.40,1.31,2.51,2.70,3.30,4.24,1.05,1.57
July,3.13,0.65,0.68,1.62,2.91,3.85,2.65,0.43,3.76,0.46,1.96
August,2.99,3.04,1.31,1.54,2.18,2.83,3.18,1.66,4.33,0.94,1.65
September,1.40,1.24,0.74,0.62,1.30,1.47,0.09,1.83,1.33,2.44,0.73
October,0.44,1.30,4.34,3.98,0.83,2.40,1.99,1.79,2.56,2.27,1.99
November,0.78,2.17,1.92,1.71,0.80,0.31,2.93,1.96,2.03,1.77,1.97
December,1.36,0.46,1.77,2.13,1.17,3.68,3.05,3.94,2.41,0.90,3.59
Total,19.34,15.52,20.76,21.92,19.55,24.01,23.79,19.72,29.83,20.11,18.82
,,,,,,,,,,,
TYRain_1900-1909_17_pt1/129,,,,,,,,,,,
TYRain_1910-1919_16_pt1/125,,,,,,,,,,,
