GRAINSBY HALL,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF271990,Long,-0.087,Lat,53.472,Elevation,75,ft,,,,,,,,,,,,,,,
Station no,2570,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
January,2.89,2.00,3.38,2.53,2.71,3.05,1.64,1.97,1.77,3.01,1.52,4.18,1.76,2.78,2.66,1.27,1.60,1.87,2.04,3.64,3.75,1.94,3.57
February,0.92,1.48,2.84,2.46,0.41,2.73,3.62,1.27,2.42,1.27,1.72,2.01,0.70,1.12,2.73,0.92,2.40,1.15,3.26,3.22,2.52,0.95,0.96
March,1.78,1.00,3.11,2.21,1.27,2.22,1.63,0.73,1.44,0.59,1.72,1.95,0.23,1.92,0.58,1.78,2.94,2.60,0.52,1.02,2.59,0.24,2.40
April,1.95,2.17,2.07,4.29,1.32,1.59,1.45,1.64,2.45,2.29,1.96,1.22,0.72,2.94,3.27,2.67,1.01,2.05,2.67,2.15,3.28,0.31,2.20
May,1.03,2.02,0.66,5.22,2.09,0.84,2.99,2.65,2.95,2.88,1.19,1.31,1.31,1.65,2.51,4.92,1.81,1.21,0.47,2.10,3.83,2.15,1.29
June,1.46,0.34,0.91,1.04,0.34,1.57,0.84,1.66,0.16,3.16,3.15,2.29,1.05,2.53,2.48,0.50,1.48,1.62,2.33,4.62,1.12,1.58,4.26
July,1.03,2.56,3.09,2.88,0.50,4.68,3.35,2.79,0.66,2.54,2.56,0.78,1.40,5.32,4.85,2.72,1.90,1.17,0.53,4.46,2.48,2.75,2.09
August,4.92,2.04,3.15,1.27,2.59,2.53,3.30,1.81,0.91,2.07,4.36,2.75,1.64,3.46,5.17,1.80,0.84,2.23,1.07,1.44,1.32,4.45,1.77
September,1.28,4.04,1.79,1.27,0.55,2.92,2.54,3.26,2.67,0.83,3.97,0.49,0.75,3.46,2.30,2.33,2.36,1.72,4.88,2.01,1.05,2.71,1.44
October,3.20,1.45,3.35,1.60,1.29,1.73,2.11,4.54,2.53,2.78,1.82,3.86,3.18,1.90,1.16,3.78,4.47,1.65,4.18,2.66,2.48,2.84,3.75
November,1.72,1.76,2.66,0.89,1.70,1.60,3.84,1.66,2.43,3.11,3.36,2.99,4.05,3.38,2.25,1.88,2.00,2.08,4.52,2.80,2.11,2.80,4.61
December,1.64,3.12,3.27,2.82,2.03,2.62,2.76,1.81,2.21,0.81,2.77,1.60,4.99,1.95,1.71,1.16,0.65,3.41,2.46,1.57,4.13,3.76,2.34
Total,23.82,23.98,30.28,28.48,16.80,28.08,30.07,25.79,22.60,25.34,30.10,25.43,21.78,32.41,31.67,25.73,23.46,22.76,28.93,31.69,30.66,26.48,30.68
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/095,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/085,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/161,,,,,,,,,,,,,,,,,,,,,,,
