KINTYRE CAMPBELTOWN DAVAAR,,,,,,,,,,,,
Grid ref,NR761206,Long,-5.540165,Lat,55.427982,,,,,,,
Station no,5418,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.57,4.27,5.66,6.49,6.35,4.81,5.19,1.76,5.36,4.91,,
February,3.71,2.79,2.19,4.51,3.96,5.13,4.08,2.46,4.19,3.32,,
March,0.69,3.33,5.71,5.14,2.67,3.77,2.91,3.84,5.46,2.14,,
April,3.78,4.39,2.19,1.51,4.17,2.20,1.83,1.60,3.80,3.50,,
May,4.09,1.35,4.18,2.51,2.33,1.26,4.13,4.49,1.65,1.57,,
June,3.21,4.10,1.65,1.58,1.21,2.70,1.55,2.88,2.97,2.86,,
July,3.04,0.90,2.72,4.39,3.71,2.43,2.55,2.43,3.42,4.77,,
August,4.58,6.13,3.14,4.91,4.89,5.58,4.51,5.10,3.38,2.88,,
September,4.85,3.65,5.31,3.83,5.37,3.15,2.16,1.87,4.91,2.22,,
October,5.62,6.40,3.41,11.01,3.13,6.44,4.73,4.05,1.74,4.65,,
November,7.78,6.17,6.47,5.33,4.47,5.73,3.97,4.28,4.00,2.40,,
December,7.40,6.18,5.93,5.53,4.27,3.13,4.47,3.65,5.07,5.47,,
Total,58.32,49.66,48.56,56.74,46.53,46.33,42.08,38.41,45.95,40.69,,
Calc annual,58.32,49.66,48.56,56.74,46.53,46.33,42.08,38.41,45.95,40.69,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
