DEVAAR CAMPBELTOWN KINTYRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR761206,Long,-5.540165,Lat,55.427982,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,
January,,,,,,1.16,2.78,3.93,5.42,6.06,7.22,5.44,8.26,7.32,3.74,4.74,9.67,4.21,5.08,5.73,3.7,6.45,9.56,7.2,4.02,6.04,2.47,11.29,6.33,2.79,1.72,0.73,5.36,7.18,7.7,2.41,5.01,2.35,3.02,4.04,5.31,1.9,4.27,1.63,4.24,1.69,3.6,2.05,2.79,5.2,9.57,4.27,5.66,6.49,6.35,4.81,5.19,1.76,5.36,4.91,4.39,3.7,5.24,5.72,3.92,4.14,7.2,3.4,4.69,6.89,6.24,8.85,7.13,5.99,5.88,4.85,7.12,7.68,11.22,3.58,4.21,6.75,4.84,2.87,4.9,,,,,,,,,,,,,,
February,,,,,,0.92,4.25,2.86,1.59,2.87,3.03,3.29,1.99,2.41,3.69,4.82,5.39,4.57,5.03,5.89,5.08,7.16,4.74,1.33,1.41,1.45,5.82,6.26,1.91,3.8,2.44,6.35,3.94,5.32,3.39,4.66,2.16,2.24,1.23,3.44,0.55,0.53,2.48,3.78,6.22,0.41,3.05,3.5,6.22,3.54,3.71,2.79,2.19,4.51,3.96,5.13,4.08,2.46,4.19,3.32,7.48,6.02,3.05,2.52,6.85,5.35,4.99,1.22,8.13,1.45,5.08,1.34,5.85,5.76,1.33,4.76,6.44,3.2,4.37,2.04,0.3,5.52,0.08,3.53,1.19,,,,,,,,,,,,,,
March,,,,,,3.05,0.97,4.85,2.19,5.7,5.14,6.5,2.25,2.99,5.45,2.91,2.8,2.26,7.21,2.38,1.81,3.41,3.53,2.07,2.91,2.03,5.29,3.39,2.46,2.24,3.67,6.44,3.26,1.44,2.46,2.62,2.42,1.07,3.2,1.55,3.93,4.3,0.33,1.97,2.01,5.26,6.41,5.23,2.76,3.83,0.69,3.33,5.71,5.14,2.67,3.77,2.91,3.84,5.46,2.14,2.43,1.78,7.02,5.53,5.53,2.8,1.41,2.61,1.71,4.85,3.65,5.85,1.66,2.92,0.85,2.1,2.85,4.4,4.85,1.58,3.59,1.73,2.63,2,2.89,,,,,,,,,,,,,,
April,,,,,,2.83,2.97,2.53,7.77,5.22,2.09,0.45,3.14,4.09,2.8,1,1.37,5.39,2.28,3.33,1.79,4.47,1.25,0.54,3.16,0.5,2.08,1.96,1.58,1.28,4.68,1.91,2.77,3.09,1.33,2.57,1.74,2.22,2.49,2.33,1.07,1.42,1.4,1.66,1.46,2.56,2.55,2.8,3.96,5.9,3.78,4.39,2.19,1.51,4.17,2.2,1.83,1.6,3.8,3.5,3.85,3.44,2.33,4.5,3.8,3.47,3.93,2.54,1.23,1.98,3.34,3.34,3.88,3.76,3.12,4.7,2.46,4.43,2.32,1.04,1.83,2.16,5.13,0.6,2.1,,,,,,,,,,,,,,
May,,,,,,1.96,4.21,2.33,3.51,0.24,4.05,1.63,4.47,4.01,1.87,3.55,1.89,2.16,3.8,0.47,4.28,0.8,3.38,2.26,1.03,2.29,0.38,1.42,2.35,1.9,1.34,3.74,2.42,3.79,3.2,1.75,2.58,1.21,3.88,1,2.2,2.63,5.19,1.85,1.57,0.36,1.37,1.37,3.51,4.01,4.09,1.35,4.18,2.51,2.33,1.26,4.13,4.49,1.65,1.57,3.37,3.1,1.4,3.81,2.57,1.28,3.47,3.85,3.9,1.65,6.63,2.07,2.83,1.58,3.94,6.63,3.96,3.19,1.2,3.7,1.61,2.42,2.35,2.25,3.25,,,,,,,,,,,,,,
June,,,,,,2.06,4.33,2.12,4.06,1.56,3.67,2.91,3.16,4.17,2.65,1.52,2.46,2.67,0.76,1.26,2.45,0.89,5.34,1.67,0.52,2.52,3.46,3.86,2.58,3.76,2.89,5.05,4.31,3.25,0.46,1.15,1.5,1.05,4.35,0.57,3.28,1.66,2.81,1.33,2.68,1.67,3.75,4.9,3.95,2.37,3.21,4.1,1.65,1.58,1.21,2.7,1.55,2.88,2.97,2.86,1.34,2.15,5.74,2.89,1.73,1.9,1.91,2.99,1.22,4.87,2.21,1.1,3.85,3.21,2.33,1.11,2.54,4.65,4.37,2.92,2.59,5.2,1.75,1.9,2.55,,,,,,,,,,,,,,
July,,,,,1.94,0.98,2.06,1.91,2.6,2.77,1.6,4.05,6.3,0.41,1.18,2.41,2.86,3.68,0.93,2.5,2.16,3.12,3.94,4.57,2.77,1.53,3.51,3.71,1.28,3.43,2.47,3.79,4.95,2.37,2.9,2.15,2.79,1.34,5.12,2.82,4.6,1.8,3.87,3.02,1.85,4.21,4.7,3.02,1.51,4.11,3.04,0.9,2.72,4.39,3.71,2.43,2.55,2.43,3.42,4.77,4.17,3.32,3.55,1.24,1.94,3.21,2.42,2.49,3.77,0.42,3.24,2.66,2.71,3.99,2.85,2.52,3.64,3.14,1.77,2.67,2.34,3.9,3.53,3.04,2.61,,,,,,,,,,,,,,
August,,,,,2.59,5.26,2.85,1.65,3.8,5.65,5.32,7.99,2.43,5.08,2.83,5.44,5.86,2.65,5.5,1.42,1.24,2.71,3.52,4.57,4.68,3.25,3.88,4.81,2.72,4.98,1.9,2.33,3.82,5.79,3.65,2.05,2.48,1.42,2.76,4.9,3.3,5.7,6.12,3.28,1.72,5.29,3.77,6.64,5.33,2.19,4.58,6.13,3.14,4.91,4.89,5.58,4.51,5.1,3.38,2.88,5.93,2.42,4.56,1.14,4.53,1.61,2.77,3.97,3.11,3.25,4.57,4.59,3.94,6.36,4.4,2.71,4.74,2.81,5.26,4.67,5.73,1.5,1.75,2.35,4.06,,,,,,,,,,,,,,
September,,,,,2.97,2.08,1.45,2.95,3.11,8.54,2.52,5.88,1.89,5.71,4.46,1.13,6.48,3.53,2.13,6.47,3.91,2.19,5.25,3.14,4.25,3.42,2.38,1.71,3.68,4.21,4.9,3.46,5.75,3.04,4.3,7.01,3.38,3.29,1.73,2.67,3.06,4.46,5.77,2.58,0.39,0.74,5.52,3.97,4.61,5.88,4.85,3.65,5.31,3.83,5.37,3.15,2.16,1.87,4.91,2.22,1.74,4.47,4.05,2.47,3.75,1.22,2.17,1.88,6.41,4,3.8,2.21,2.16,7.2,6.05,3.16,4.26,4.38,3.76,1.63,3.3,1.87,3.8,1.15,7.13,,,,,,,,,,,,,,
October,,,,,5.65,6.89,3.09,2.95,4.52,3.57,6.04,3.09,9.7,4.17,1.6,5.16,1.79,6.68,8.31,3.26,8.52,4.05,3.62,8.59,6.99,9.67,5.6,6.36,7.38,2.9,1.46,3.25,3.29,5.11,3.7,5.05,3.05,1.29,1.88,4.47,4.52,5.71,3.14,4.35,4.56,3.68,3.64,2.36,3.94,3.86,5.62,6.4,3.41,11.01,3.13,6.44,4.73,4.05,1.74,4.65,1.34,3.83,6.01,3.93,1.93,2.92,6.82,12.77,7.66,1.18,4.58,4.3,2.37,5.96,2.55,5.11,5.94,5.33,7.47,5.12,7.98,3.23,6.36,4.66,8.5,,,,,,,,,,,,,,
November,,,,,4.45,0.78,2.88,3.39,3.46,3.89,2.74,5.1,3.35,5.76,4.62,4.92,5.08,2.52,4.02,8.1,1.31,5.05,6.29,4.41,8.32,5.74,2.55,6.99,2.81,1.39,5.55,5.07,9,7.06,7.91,2.05,4.65,3.51,5.62,3.46,10.49,5.93,4.51,3.99,4.12,4.92,1.89,3.52,6.57,5.04,7.78,6.17,6.47,5.33,4.47,5.73,3.97,4.28,4,2.4,6.67,6.68,5.65,7.14,5.15,4.04,4.49,10.86,6.72,3.44,5.25,6.18,4.74,5.18,4.19,2.38,4.77,6.12,9.31,6.52,5.35,7.52,3.77,2.23,1.9,,,,,,,,,,,,,,
December,,,,,7.98,3.51,5.11,3.14,9.64,3.61,2.32,4.24,5.6,5.01,3.64,3.01,6.02,4.53,5.26,6.36,2.07,4.7,8.02,2.23,3.65,3.39,7.66,7.84,2.07,1.43,6.77,6.14,5.66,4.99,7.54,4.04,4.71,4.42,3.93,5.56,1.7,7.23,2.77,5.2,5.5,6.1,6.18,7.78,6.81,8.62,7.4,6.18,5.93,5.53,4.27,3.13,4.47,3.65,5.07,5.47,5.25,8.64,9.65,5.18,5.87,5.51,4.33,4.05,7.25,11.08,4.76,6.62,4.47,7.59,4.94,4.12,3.43,0.88,6.81,11.37,6.49,4.72,5.23,3.14,8.22,,,,,,,,,,,,,,
Total,,,,,,31.48,36.95,34.61,51.67,49.68,45.74,50.57,52.54,51.13,38.53,40.61,51.67,44.85,50.31,47.17,38.32,45,58.44,42.58,43.71,41.83,45.08,59.6,37.15,34.11,39.79,48.26,54.53,52.43,48.54,37.51,36.47,25.41,39.21,36.81,44.01,43.27,42.66,34.64,36.32,36.89,46.43,47.14,51.96,54.55,58.32,49.66,48.56,56.74,46.53,46.33,42.08,38.41,45.95,40.69,47.96,49.55,58.25,46.07,47.57,37.45,45.91,52.63,55.8,45.06,53.35,49.11,45.59,59.5,42.43,44.15,52.15,50.21,62.71,46.84,45.32,46.52,41.22,29.72,49.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1858 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDR 1882 Jan , Dec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1930 Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
