"DOWNDERRY (THE WATCH HOUSE)",,,,,,,,,,,,
Grid ref,SX514541,Long,-4.090846,Lat,50.367988,,,,,,,
Station no,1930,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.32,4.53,1.29,,,,,,,,,
February,5.17,1.11,2.05,,,,,,,,,
March,6.30,4.27,0.99,,,,,,,,,
April,2.64,3.26,2.89,,,,,,,,,
May,3.09,2.85,4.01,,,,,,,,,
June,1.01,1.00,1.47,,,,,,,,,
July,1.37,1.08,3.43,,,,,,,,,
August,4.68,4.96,2.13,,,,,,,,,
September,4.43,3.88,3.09,,,,,,,,,
October,1.62,5.55,2.51,,,,,,,,,
November,4.92,3.92,3.37,,,,,,,,,
December,3.54,4.72,1.16,,,,,,,,,
Total,43.09,41.13,28.39,,,,,,,,,
Calc annual,43.09,41.13,28.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
