CONCLOG,,,,,,,,,,,,
Grid ref,SH669466,Long,-3.984805,Lat,53.000131,,,,,,,
Station no,4336/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,15.80,16.70,5.70,13.50,11.50,8.55,33.95,12.50,10.40,12.10,,
February,10.75,2.90,16.20,12.50,4.30,1.80,7.65,19.80,7.30,,,
March,12.40,17.50,5.90,11.30,2.75,6.15,21.75,3.10,10.10,,,
April,10.70,10.75,9.20,6.45,15.85,3.40,3.10,13.93,10.20,,,
May,2.30,4.00,8.70,7.60,12.10,9.50,6.95,15.60,2.15,,,
June,6.90,15.70,7.75,16.40,19.45,7.25,5.50,8.70,6.40,,,
July,3.50,7.10,22.00,22.10,4.80,15.50,21.70,13.50,10.20,,,
August,18.00,11.80,11.70,19.40,4.25,24.20,12.10,12.70,4.30,,,
September,21.55,12.00,14.80,19.90,13.10,13.10,21.70,19.85,1.95,,,
October,3.60,18.90,8.90,38.60,9.50,14.70,25.40,10.50,16.50,,,
November,15.95,7.30,21.80,21.10,4.05,4.75,5.45,8.30,15.90,,,
December,29.50,13.70,7.60,22.23,24.60,18.10,15.30,10.10,29.90,,,
Total,150.95,138.35,140.25,211.08,126.25,127.00,180.55,148.58,125.30,,,
Calc annual,150.95,138.35,140.25,211.08,126.25,127.00,180.55,148.58,125.30,12.10,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
