"BURTON (HOAR CROSS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1430,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.46,2.32,4.24,2.02,2.52,1.96,2.96,2.63,,,,
February,2.42,0.45,2.70,5.19,0.78,3.21,3.27,1.93,,,,
March,1.56,1.25,2.30,1.50,0.95,1.55,1.34,2.70,,,,
April,4.65,1.30,2.25,3.02,2.56,1.93,2.19,1.81,,,,
May,2.85,1.35,1.19,2.52,5.04,4.18,3.59,1.52,,,,
June,2.81,0.62,1.30,0.61,2.66,0.09,3.04,5.50,,,,
July,3.72,0.46,4.18,7.09,3.79,2.78,2.54,5.10,,,,
August,1.13,4.08,4.96,2.60,3.91,3.78,2.22,4.23,,,,
September,2.16,0.92,2.58,2.79,2.66,4.49,1.24,4.79,,,,
October,2.34,3.08,0.76,3.73,4.41,3.76,3.42,2.29,,,,
November,1.07,1.86,0.91,1.94,1.89,2.14,4.92,4.10,,,,
December,2.89,2.10,4.74,4.23,2.59,2.03,0.65,2.50,,,,
Total,31.06,19.79,32.11,37.24,33.76,31.90,31.38,39.10,,,,
Calc annual,31.06,19.79,32.11,37.24,33.76,31.90,31.38,39.10,0.00,0.00,0.00,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,
