GLOUCESTER-BIRDLIP-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO924148,Long,-2.111694,Lat,51.83176,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,2.95,2.73,2.68,4.76,2.66,0.71,0.69,2.78,2.48,1.08,2.07,2,3.69,0.85,2.41,0.49,3.56,3.53,1.27,1.08,3.32,3.53,0.97,4.87,1.07,,
February,,,,4.65,1.6,3.7,0.99,0.81,2.22,1.32,0.62,0.01,1.34,2.87,2.22,0.16,0.38,3.3,1.41,3.57,7.58,1.58,1.34,1.44,4.74,0.77,1.82,1.33,,
March,,,,1.48,3.12,1.17,2.64,1.26,3.62,3.88,1.03,1.93,0.82,0.2,1.42,2.22,2.3,3.79,0.65,0.75,1.14,2.44,1.64,3.52,1.7,4.14,1.35,0.57,,
April,,,,0.99,1.68,2.68,2.16,1.58,2.28,3.78,1.3,0.97,0.89,0.02,3.04,2.99,0.83,1.54,2.3,2.35,0.95,2.77,2.28,2.4,1.05,2.99,0.5,3.36,,
May,,,,1.98,0.69,3.11,4.79,1.9,1.79,3.58,2.75,3.6,1.06,1.26,2.63,0.64,0.28,1.4,3.51,1.86,2.69,1.32,2.32,4.24,2.39,0.39,2.17,2.54,,
June,,,,4.49,3.66,1.89,1.23,1.59,2.82,0.97,2.5,1.93,2.42,1.12,2.06,0.91,2.27,2.6,1.23,1.6,2.03,2.26,2.82,4.44,1.17,5.3,3.19,2.97,,
July,,,,4.11,3.8,0.3,3.37,1.01,5.1,2.57,3.39,3.63,1.71,3.75,2.26,2.79,1.24,1.17,0.86,1.16,2.3,2.59,1.07,3.93,2.49,0.88,1.28,3.63,,
August,,,,0.89,1.98,1.98,1.76,2.27,2.16,2.64,2.77,5.6,2.72,2.13,2.63,2.41,2.39,4.48,3.21,1.77,3.38,1.81,2.74,3.55,2.16,5.11,1.03,1.75,,
September,,,,5.85,1.53,3.97,3,2.5,1.21,2.23,0.85,1.73,2.73,0.76,3.3,0.76,5.72,2.3,0.93,1.76,0.53,2.27,1.98,2.28,2.9,1.39,0.65,0.49,,
October,,,,2.56,1.01,3.21,4.78,2.4,0.6,2.65,1.2,7.25,2.28,1.95,3.65,3.41,3.86,1.55,4.35,2.45,3.44,1.16,2.63,6.89,0.53,1.4,5.1,7.03,,
November,,,,4.04,1.93,4.13,2.72,3.15,7.15,1.65,2.1,2.91,2.2,2.22,4.04,5.01,0.92,1.52,3.14,2.54,2.55,1.3,2.78,1.97,1.53,3.77,3.24,2.15,,
December,,,,0.46,2.54,0.93,4.01,1.91,3.29,1.59,1.09,3.14,0.74,2.97,2.45,1.84,3.75,3.68,2.93,2.35,6.31,5.29,2.13,1.85,2.01,0.72,1.73,4.41,,
Total,,,,34.45,26.27,29.75,36.21,23.04,32.95,27.55,22.38,35.18,19.99,21.32,31.7,26.83,24.79,29.74,25.01,25.72,36.43,26.06,24.81,39.83,26.2,27.83,26.93,31.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note some duplicate values during 1900s with other gauge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
