"MEASAND BECK (KEASGILL)",,,,,,,,,,,,
Grid ref,NY461151,Long,-2.834357,Lat,54.528299,,,,,,,
Station no,3677,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.98,8.00,3.93,7.30,8.25,5.80,17.00,10.55,8.50,12.70,,
February,9.80,1.80,2.88,7.50,3.45,1.50,10.08,9.55,2.62,12.35,,
March,5.00,5.25,1.40,6.82,3.50,3.40,8.28,2.55,8.30,2.65,,
April,7.45,6.27,6.35,1.28,2.60,1.80,1.50,3.75,9.25,8.65,,
May,2.95,4.50,5.00,7.20,8.80,4.70,4.65,7.40,2.35,3.78,,
June,3.10,5.25,5.00,6.43,4.55,5.45,1.75,7.00,8.15,6.80,,
July,4.75,3.95,11.30,5.53,3.25,7.60,6.40,6.72,6.45,8.16,,
August,9.10,8.96,8.60,9.37,3.10,13.85,10.00,5.35,1.77,5.24,,
September,18.00,8.30,11.35,15.50,4.75,7.45,9.45,11.30,1.50,5.42,,
October,1.35,13.40,6.30,18.80,6.25,6.28,11.05,8.72,10.22,7.20,,
November,18.00,5.30,15.60,19.50,5.90,3.50,3.85,1.45,14.90,20.00,,
December,18.00,6.30,6.45,11.90,13.15,13.10,11.00,8.35,18.15,12.65,,
Total,105.48,77.28,84.16,117.13,67.55,74.43,95.01,82.69,92.16,105.60,,
Calc annual,105.48,77.28,84.16,117.13,67.55,74.43,95.01,82.69,92.16,105.60,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
