LOCH TURRET (LOWER GLEN TURRET),,,,,,,,,,,,,,,,,,,,
Grid ref,NN821266,Long,-3.912699,Lat,56.416853,Elevation,1100,ft,,,,,,,,,,,,
Station no,5545/4/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.75,7.5,6.55,3.56,6.5,3.6,1.41,6.15,3.65,4.65,5.65,4.55,2.45,6.25
February,,,,,,,2.8,7.05,5.65,6.26,6.24,1.5,2.05,6.35,3.04,2.65,4.7,3.95,2.1,7.1
March,,,,,,,6.3,4.15,2.65,3.05,3.3,4.22,1.25,7.4,3.6,3.95,5.68,3.1,4.15,3.7
April,,,,,,,8.7,2.95,3.75,3.59,3.93,2.8,2.25,1.81,2.75,1.7,3.9,2,3.7,5.4
May,,,,,,,5.05,4.2,3.1,2.3,1.7,2.62,2.85,6.5,2.7,3.65,4.6,3.9,1.35,4.15
June,,,,,,,4.4,6.4,1.7,2.3,2.75,3.28,3.32,3.08,3.3,3.8,3,4.1,2.05,3.4
July,,,,,,,5.6,3.55,1.85,6.74,3.9,2.62,5.45,3.7,1.55,4.9,3.55,5.65,5.65,4.75
August,,,,,,,0,7.75,4.72,8.65,6.05,5.78,2.4,4.45,1.5,6.68,5.15,4.95,2.1,6.2
September,,,,,,,6.8,6.8,2.15,9.02,4.6,2.05,6.01,5.95,3.3,6.3,3.55,6,1.4,5.45
October,,,,,,,3.7,7.3,8.85,4.9,1.74,5.05,3.4,6.6,4.75,4,3.05,4.2,5.6,7
November,,,,,,,7.15,4.3,5.01,4.31,10.68,2.65,5.7,9.4,2.7,2,1.3,1.75,8.2,10.8
December,,,,,,,3.3,9.85,7.77,4.29,6.43,3.9,6.35,4.4,9.5,8.4,6.4,7.75,9.05,7
Total,,,,,,,62.55,71.8,53.75,58.97,57.82,40.07,42.44,65.79,42.34,52.68,50.53,51.9,47.8,71.2
,,,,,,,,,,,,,,,,,,,,
BR 1947 P Feb Mar Est,,,,,,,,,,,,,,,,,,,,
BR 1948 P Jan Est,,,,,,,,,,,,,,,,,,,,
BR 1949 P,,,,,,,,,,,,,,,,,,,,
BR 1950 P Ja-May Est,,,,,,,,,,,,,,,,,,,,
BR 1951 P Ja Fe Est,,,,,,,,,,,,,,,,,,,,
BR 1952 P Feb Estd,,,,,,,,,,,,,,,,,,,,
BR 1953 P,,,,,,,,,,,,,,,,,,,,
BR 1954 P,,,,,,,,,,,,,,,,,,,,
BR 1955 P dec Estd,,,,,,,,,,,,,,,,,,,,
BR 1956 P Jan Apr Est,,,,,,,,,,,,,,,,,,,,
BR 1957 P,,,,,,,,,,,,,,,,,,,,
BR 1958 P,,,,,,,,,,,,,,,,,,,,
BR 1959 P ,,,,,,,,,,,,,,,,,,,,
BR 1960 P () JF  Ap Oct-Dec Estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/4/3,,,,,,,,,,,,,,,,,,,
Midas,15333,to 1962,,,,,,,,,,,,,,,,,,
Hyd Stn,880989,,,,,,,,,,,,,,,,,,,
