LOCH TURRET (LOWER GLEN TURRET),,,,,,,,,,,,
Grid ref,NN821266,Long,-3.912699,Lat,56.416853,,,,,,,
Station no,5545/4/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.50,3.60,1.41,6.15,3.65,4.65,5.65,4.55,2.45,6.25,,
February,6.24,1.50,2.05,6.35,3.04,2.65,4.70,3.95,2.10,7.10,,
March,3.30,4.22,1.25,7.40,3.60,3.95,5.68,3.10,4.15,3.70,,
April,3.93,2.80,2.25,1.81,2.75,1.70,3.90,2.00,3.70,5.40,,
May,1.70,2.62,2.85,6.50,2.70,3.65,4.60,3.90,1.35,4.15,,
June,2.75,3.28,3.32,3.08,3.30,3.80,3.00,4.10,2.05,3.40,,
July,3.90,2.62,5.45,3.70,1.55,4.90,3.55,5.65,5.65,4.75,,
August,6.05,5.78,2.40,4.45,1.50,6.68,5.15,4.95,2.10,6.20,,
September,4.60,2.05,6.01,5.95,3.30,6.30,3.55,6.00,1.40,5.45,,
October,1.74,5.05,3.40,6.60,4.75,4.00,3.05,4.20,5.60,7.00,,
November,10.68,2.65,5.70,9.40,2.70,2.00,1.30,1.75,8.20,10.80,,
December,6.43,3.90,6.35,4.40,9.50,8.40,6.40,7.75,9.05,7.00,,
Total,57.82,40.07,42.44,65.79,42.34,52.68,50.53,51.90,47.80,71.20,,
Calc annual,57.82,40.07,42.44,65.79,42.34,52.68,50.53,51.90,47.80,71.20,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
