WEYBRIDGE-STATION-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ077643,Long,-0.45428313,Lat,51.36756,Elevation,85,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.77,0.68,2.01,0.86,1.78,1.2,3.56,2.65,0.56,4.25,,,3.13,3.85,2.35,2.34,2.55,1.45,,,,,,,
February,,,,,,,1.73,1.42,0.98,0.41,3.21,1.24,1.92,0.97,3.01,4.18,,,0.99,1.95,0.4,0.42,2.26,3.19,,,,,,,
March,,,,,,,1.2,0.85,3.04,3.21,1.04,1.6,2.86,2.93,4.43,0.81,,,0.99,3.5,1.4,1.2,1.77,2.32,,,,,,,
April,,,,,,,0.39,3.58,2.81,1.94,1.1,1.93,0.06,2.49,1.2,1.33,,,3.39,2.44,3.32,0.78,2.76,,,,,,,,
May,,,,,,,2.12,1.53,1.73,1.56,1.83,1.53,1.27,2.02,1.18,3.25,,,2.51,0.25,0.73,1.21,0.97,,,,,,,,
June,,,,,,,2.24,2.11,1.84,4.38,1.86,1.95,3.63,0.38,1.18,,,2.99,1.24,1.21,1.76,0.21,1.03,,,,,,,,
July,,,,,,,1.01,1.28,2.44,2.7,2.67,1.64,1.54,1.42,2.87,,,5.63,5.46,2.37,4.87,0.23,3.07,,,,,,,,
August,,,,,,,0.94,2.47,2.86,2.18,1.74,0.58,5.61,1.48,1.61,2.53,,4.21,1.03,2.24,1.66,0.6,2.57,,,,,,,,
September,,,,,,,1.84,0.54,1.37,3.31,0.87,1.32,2.72,2,0.76,,,1.93,5.61,1.54,2.24,1.66,1.51,,,,,,,,
October,,,,,,,3.99,4.29,2.33,3.72,3.05,2.96,2.54,3.72,1.44,,,3.42,1.22,0.68,1.49,0.83,0.89,,,,,,,,
November,,,,,,,3.84,2.18,0.71,0.76,2.82,3.5,1.92,2.29,3.02,,,1.07,2.2,1.55,1.14,1.69,1.45,,,,,,,,
December,,,,,,,2.22,3.06,2.2,2.91,3.84,5.59,2.99,1.13,7.06,,,1.38,2.09,4.11,2.2,1.24,3.39,,,,,,,,
Total,,,,,,,25.29,23.99,24.32,27.94,25.81,25.04,30.62,23.48,28.32,,,,29.86,25.69,23.56,12.41,24.22,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is on Station Road, now Hunger Hill, at the stated altitude.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gauge may have moved in 1917 but not clear if this is correct or for how long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The relationships to church and station on the 1930s record are broadly consistent with the NGR used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The relationship to the church on the later records is not consistent with the relationship to the station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
