"GLENGAIRN GARN SHIEL LODGE NO 14",,,,,,,,,,,,
Grid ref,NJ294006,Long,-3.166655,Lat,57.090953,,,,,,,
Station no,5636,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.38,4.13,1.80,1.01,2.78,2.74,1.82,2.79,,
February,,,0.76,3.81,3.44,2.02,2.77,1.67,2.65,1.22,,
March,,,2.15,3.44,2.03,3.83,2.46,1.39,5.59,7.98,,
April,,,2.45,2.82,2.06,3.66,1.65,3.32,3.00,3.08,,
May,,,5.02,1.86,2.43,1.64,5.54,4.74,1.51,3.00,,
June,,,2.88,1.67,0.93,0.77,0.77,3.55,1.08,1.68,,
July,,,2.30,3.99,1.12,2.06,1.38,1.65,2.98,3.17,,
August,,,2.81,3.33,4.05,3.74,2.89,3.14,3.51,1.98,,
September,,,2.36,2.97,1.82,2.13,1.51,1.13,3.91,1.87,,
October,,,2.38,4.95,0.86,4.76,5.80,5.19,1.68,4.89,,
November,,,3.27,2.58,2.02,7.07,7.52,2.07,1.85,1.72,,
December,,,5.33,2.98,2.64,1.14,3.93,2.93,2.89,2.58,,
Total,,,33.09,38.53,25.20,33.83,39.00,33.52,32.47,35.96,,
Calc annual,0.00,0.00,33.09,38.53,25.20,33.83,39.00,33.52,32.47,35.96,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
