BULWICK,,,,,,,,,,
Grid ref,SP959942,Long,-0.58751752,Lat,52.537228,Elevation,224,ft,,
Station no,1136/7/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.35,4.32
February,,,,,,,,,0.08,1.62
March,,,,,,,,,2.01,2.2
April,,,,,,,,0.57,1.88,0.73
May,,,,,,,,2.19,0.58,1.17
June,,,,,,,,5.3,0.5,2.85
July,,,,,,,,2.51,1.26,2.24
August,,,,,,,,1.92,0.68,3.22
September,,,,,,,,1.57,0,3.69
October,,,,,,,,1.84,1.45,5.15
November,,,,,,,,1.31,1.92,2.72
December,,,,,,,,2.29,3.03,2.44
Total,,,,,,,,,16.74,32.35
