BULWICK,,,,,,,,,,,
Grid ref,SP959942,Long,-0.58751752,Lat,52.537228,Elevation,225,ft,,,
Station no,1136/7/5,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.94,1.33,,,,,,,
February,,,1.5,3.73,,,,,,,
March,,,2.05,1.75,,,,,,,
April,,1.11,2.87,1.88,,,,,,,
May,,1.42,1.14,0.83,,,,,,,
June,,0.36,0.91,0.5,,,,,,,
July,,0.23,4.15,2.75,,,,,,,
August,,2.03,4.24,1.67,,,,,,,
September,,1.05,2.34,1.69,,,,,,,
October,,1.58,0.93,2.95,,,,,,,
November,,1.45,1.23,1.49,,,,,,,
December,,1.12,2.06,2.64,,,,,,,
Total,,,26.36,23.21,,,,,,,
