"GLEN ALMOND, AUCHNAFREE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 81961 33699,Long,-3.918163,Lat,56.480562,Elevation,1040,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.84,9.04,11.49,11.14,17.39,2.56,12.03,6.51,11.48,10.68,12.48,2.04,8.17,13.32,11.83,6.52,2.41,2.89,3.88,10.89,6.38,2.42,,,,,
February,,,,,1.35,8.83,7.76,3.11,7.03,3.35,1.43,4.29,0.21,4.32,0.47,8.07,4.63,5.77,4.13,8.91,2.28,6.34,3.7,7.2,2.1,8.94,,,,,
March,,,,,0.72,1.56,3.73,6.66,10.84,0.87,4.31,1.42,2.94,5.4,4.95,2.62,3.96,3.59,3.61,6.24,5.17,2.78,4.46,3.4,0.89,4.71,,,,,
April,,,,,3.92,7.69,2.83,2.75,3.48,2.3,2.83,4.38,6.88,2.72,7.67,6.64,1.4,2.7,0.57,3.06,4.17,2.84,4.82,5.15,5,2.41,,,,,
May,,,,,7.21,10.1,3.85,3.34,2.16,7.28,3.14,7.48,4.77,2.8,3.84,0.72,2.44,4.25,4.72,2.37,1.89,3.99,6.42,3.89,4.34,5.85,,,,,
June,,,,,2.17,0.57,5.9,4.44,5.95,2.96,2.5,7.3,3.03,2.14,2.44,9.34,2.5,2.62,7.46,2.91,0.57,0.76,1.53,4.96,3.6,5.21,,,,,
July,,,,,8.12,1.86,2.53,8.59,2.98,3.44,2.79,5.24,5.42,3.66,3.32,0.88,9.3,5,6.74,7.7,5.96,2.58,3.58,3.1,5.04,4.62,,,,,
August,,,,,7.78,5.68,2.4,7.84,8.64,6.15,8.84,2.06,2.76,1.86,7.03,3.24,2.4,4.31,2.3,2.38,1.24,4.2,8.95,7.12,3.91,2.63,,,,,
September,,,,,8.12,4.54,3.48,7.01,5.3,1.21,6.37,2.7,3,3.32,10.05,7.37,6.09,3.12,5.75,3.74,2.43,2.45,7.6,5.57,5.18,8.2,,,,,
October,,,,,5.02,7.27,6.61,9.44,12.47,7.78,9.98,3.58,9.37,6.95,9.06,11.67,5.88,6.15,10.57,8.21,10.81,5.57,4.9,12.69,8.34,7.9,,,,,
November,,,,,4.15,1.42,14.37,7.3,7.76,8.9,7.62,16.73,5.03,5.68,0.91,8.97,4.84,0.84,13.67,11.9,10.49,9.99,1.46,3.86,9.13,1.41,,,,,
December,,,,,14.2,6.09,1.6,1.76,6.97,15.27,8.71,6.23,13.43,2,16.77,4.35,10.88,2.52,7.77,2.8,6.25,5.56,11.87,3.74,8.93,8.65,,,,,
Total,,,,,66.6,64.65,66.55,73.38,90.97,62.07,70.55,67.92,68.32,51.53,78.99,65.91,62.49,54.19,79.12,66.74,53.67,49.95,63.17,71.57,62.84,62.95,,,,,
