STROUD-THRUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO861039,Long,-2.202677,Lat,51.733636,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2155/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,2.05,4.05,2.71,2.72,0.69,4.09,4.44,3.83,6.37,2.35,2.89,3.24,6.1,2.06,2.02,,,,,
February,,,,,,,,,,,,2.41,0.17,3.93,0.31,3.12,2.84,4.97,0.99,1.42,2.9,3.63,0.69,1.51,0.66,2.59,,,,,
March,,,,,,,,,,,2.75,0.37,2.2,2.9,2.25,0.62,2.18,3.94,0.19,1.91,2.76,2.78,3.15,1.02,0.39,1.29,,,,,
April,,,,,,,,,,,2.47,2.96,3.18,1.13,1.93,4.85,2.76,3.99,0.09,3.94,2.86,1.19,1.34,0.7,1.37,1.23,,,,,
May,,,,,,,,,,,1.54,3.9,6.56,2.2,1.2,1.06,0.62,1.76,2.45,1.07,2,1.91,4.25,4.03,0.73,2.5,,,,,
June,,,,,,,,,,,0.91,3.33,1.81,1.4,1.03,3.5,2.23,1.05,1.71,2.04,0.67,1.38,0.21,2.39,3.98,3.71,,,,,
July,,,,,,,,,,,2.81,4.92,2.6,1.81,2.1,0.51,5.31,2.7,3.21,4.71,4.9,2.68,1.95,1.52,2.61,1.08,,,,,
August,,,,,,,,,,,2.98,6.77,1.59,0.87,1.98,1.96,0.34,0.93,3.45,4.02,0.16,4.03,4.78,2.48,2.54,2.47,,,,,
September,,,,,,,,,,,3.71,2.51,3.54,2.88,2.07,5.15,3.35,2.97,2.61,0.89,1.11,0.78,2.38,2.01,3,2.29,,,,,
October,,,,,,,,,,,2.33,0.68,5.29,3.42,1.82,4.64,1.38,3.16,4.16,3.2,3.61,2.16,3.38,2.44,4.64,3.67,,,,,
November,,,,,,,,,,,3.7,4.88,2.19,0.76,1.4,5.9,3.57,1.57,3.72,5.25,7.78,2.49,1.6,1.64,5.79,0.52,,,,,
December,,,,,,,,,,,3.91,1.56,1.36,0.47,6.35,4.21,3.98,2.51,4.3,2.44,1.24,2.06,3.73,1.64,1.72,5.13,,,,,
Total,,,,,,,,,,,,36.34,34.54,24.48,25.16,36.21,32.65,33.99,30.71,37.26,32.34,27.98,30.7,27.48,29.49,28.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
