FRODSHAM-DUNSDALE-OTHER-GAUGE,,,,,,,,,,
Grid ref,SJ513766,Long,-2.7319189,Lat,53.284122,Elevation,206,ft.,,
Station no,RR6198,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.64,,,,,,,,,
February,0.45,,,,,,,,,
March,2.04,,,,,,,,,
April,1.35,,,,,,,,,
May,1.91,,,,,,,,,
June,2.57,,,,,,,,,
July,,,,,,,,,,
August,3.77,,,,,,,,,
September,1.25,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR is Dunsdale. Altitudes match,,,,,,,,,,
Not clear which 1890s record is continuation of 1880s record; longest records have been combined and this is the other gauge,,,,,,,,,,
