GIRVAN ALMONT,,,,,,,,,,,,,,,,,,,,
Grid ref,NX187872,Long,-4.8463944,Lat,55.145852,Elevation,150,ft,,,,,,,,,,,,
Station no,RR8441,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,11.2,6.23,3.15,2.3,0.85,4.2,7.1,,,,,,
February,,,,,,,6,4.35,2.9,3.7,5.15,5.1,3.48,9.77,,,,,,
March,,,,,,,4.3,3.55,2.05,2.55,2.7,7,4.18,3.7,,,,,,
April,,,,,,,1.8,3.4,2.45,1.58,5.6,1.7,2.92,2.08,,,,,,
May,,,,,,,0.7,2.9,3.19,3,1.25,2.71,1.98,2.61,,,,,,
June,,,,,,,3.9,4.6,3,4.4,3.12,4.73,3.9,2.6,,,,,,
July,,,,,,,2.7,4.55,1,6.1,3.3,4,5.38,3.02,,,,,,
August,,,,,,,5.6,4.73,2.88,6.05,0.55,3.75,3.6,5.53,,,,,,
September,,,,,,,3.2,2.3,5.9,7.55,3.4,2.35,5.37,4.27,,,,,,
October,,,,,,,8.4,7.3,8.15,3.53,2.6,3.6,3.52,6,,,,,,
November,,,,,,,2.95,8.95,2.5,1.35,5.55,7.95,9.01,,,,,,,
December,,,,,,,8.1,7.73,1.25,3.45,5.1,6.55,4.77,,,,,,,
Total,,,,,,,,65.56,41.5,46.41,40.62,50.29,52.31,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1883 gauge moved 10 Nov 1/2mile so data removed,,,,,,,,,,,,,,,,,,,,
