CHALBURY-WIMBORNE-MINSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU018068,Long,-1.975794,Lat,50.860707,Elevation,338,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.27,4.84,4.49,4.54,4.34,2.02,2.67,5.97,4.25,2.48,5.34,1.38,6.59,1.48,4.32,0.47,3.38,1.14,3.24,3.51,2.91,3.27,3.33,1.35,0.73,3.47,3.08,1.4,1.75,3.61,4.58,1.05,2.17,0.74,3.86,3.38,2.1,0.92,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.7,4.57,2.79,1.85,2.54,3.54,1.57,3.43,1.98,3.22,2.69,2.98,1.26,2.38,3.87,3.74,3.41,1.55,4.34,2.61,4,0.78,0.72,0.76,1.61,0.67,0,1.5,4.05,3.06,0,0.39,3.5,1.31,3.27,4.55,2.39,1.82,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.13,2.22,3.69,2.06,1.9,1.69,1.67,3.47,3.28,0.34,1.79,3.72,1.89,1.11,0.35,0.97,2.59,0.44,0.97,2.93,1.45,2.81,1.28,3.21,2.79,1.39,2.84,0.71,0.28,1.6,2.08,3.48,5.42,0.56,0.73,1.04,2.08,2.02,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.73,2.1,2.37,2.9,1.28,0.41,4.75,2.41,0.79,2.43,1.48,2.98,3.32,3.56,2.44,1.53,0.8,5.07,1.12,1.72,1.87,2,1.27,1.8,2.93,2.97,0.96,0.84,0.05,2.67,2.82,0.67,2.7,2.07,2.95,1.57,2.52,1.62,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.88,1.24,1.7,2.12,4.94,1.65,0.66,3.19,1.12,0.44,2.4,0.24,2.47,4.85,2.17,0.87,0.75,2.1,2,1.15,3.14,4.41,1.96,1.85,1.27,2.38,2.01,0.95,0.83,1.93,0.49,0.24,2.05,3.1,1.34,1.66,1.03,2.47,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.05,1.96,1.31,0.54,1.3,0.31,2.78,3.56,1.75,1.9,3.39,1.53,0.87,1.97,5.2,2.31,1.75,3.46,1.85,4.51,2.26,0.4,0.87,2.73,2.2,2.85,2.07,1.27,1.11,2.01,1.53,2.2,2.9,0.85,1.21,2.16,1.71,2.91,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.45,1.19,4.52,0.43,0.54,2.06,4.88,3.67,2.29,1.09,3.87,0.69,3.4,1.61,3.2,3.81,1.63,2.86,2.87,2.15,0.32,2.48,0.77,3.31,2.58,2.9,2.13,2.02,4.08,5.02,3.21,0.77,1.12,0.45,0.24,1.54,2.12,1.77,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.55,2.14,1.81,5.68,0.8,1.94,1.61,1.98,2.79,2.67,1.91,3.47,2.91,3.43,4.87,1.65,5.84,1.81,0.92,1.35,0.89,0.83,1.9,1.76,2.09,2.69,6.06,3.48,0.92,1.62,2.63,3.21,4.78,1.35,0.9,2.57,2.36,3.51,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.03,8.71,2.06,4.12,4.52,1.55,5.01,1.92,2.51,4.06,2.88,5.11,2.67,1.61,3.52,3.31,2.17,2.6,3.83,1.62,4.22,2.6,2.83,1.38,1.05,2.49,1.29,2.77,1.92,2.72,0.31,9.17,3.18,1.33,3.03,0.91,3.26,1.24,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.87,2.12,3.63,3.44,1.71,4.04,2.27,7.27,2.74,4.89,7.18,2.61,2.08,2.93,0.84,5.12,1.56,7.2,2.44,1.27,3.9,4.49,1.8,1.85,5.19,0.84,9.06,4.96,4.07,4.13,3.1,3.47,1.38,4.67,2.36,3,3.41,2.61,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
