WIMBORNE (FERNDOWN),,,,,,,,,,,,
Grid ref,SU074008,Long,-1.896347,Lat,50.806709,,,,,,,
Station no,1611/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.12,1.94,3.78,4.92,2.82,4.63,3.69,3.97,,
February,,,1.69,3.14,2.28,0.18,4.26,3.03,0.32,2.95,,
March,,,0.49,4.51,1.41,1.02,2.51,2.20,4.06,2.32,,
April,,,2.56,0.16,0.45,1.18,0.22,0.37,2.69,1.94,,
May,,,2.43,2.22,4.06,0.52,2.36,2.27,1.38,2.68,,
June,,,2.26,3.53,2.82,2.20,1.75,5.25,1.84,2.26,,
July,,,3.55,2.69,2.03,1.96,3.79,1.77,1.81,3.68,,
August,,,1.95,3.93,0.56,4.19,3.85,3.47,1.86,5.81,,
September,,,3.26,2.86,1.18,4.82,2.96,4.94,0.25,5.37,,
October,,4.76,4.24,3.01,4.14,2.17,2.45,3.41,3.48,10.32,,
November,,4.14,2.01,6.28,3.36,0.84,2.35,2.70,4.03,5.62,,
December,,2.72,0.88,3.36,5.83,-999.00,2.74,3.53,8.09,3.10,,
Total,,,26.44,37.63,31.90,29.72,32.06,37.57,33.50,50.02,,
Calc annual,0.00,11.62,26.44,37.63,31.90,24.00,32.06,37.57,33.50,50.02,,
Difference,NaN,NaN,0.00,0.00,0.00,5.72,0.00,0.00,0.00,0.00,,
