LOCH NESS FOYERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH495212,Long,-4.496544,Lat,57.256632,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.34,1.19,3.38,4.41,5.51,3.28,3.67,5.2,3.8,3.73,9.43,3.33,4.61,6.23,6.22,1.57,1.63,1.61,6.73,3.07,8.48,4,2.78,2.64,6.04,9.14,2.77,8.07,3.68,6.11,4.81,7.11,9.28,0.6,7.95,4.66,7.32,5.2,6.24,3.68,2.07,5.49,6.51,4.46,0.36,0.78,2.7,2.48,5.2,3.66,3.83,3.07,3.95,7.66,3.75,5.05,4.59,2.34,3.25,1.7,3.14,6.18,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.64,2.98,5.54,1.95,1.4,2.1,0.74,7.26,2.32,4.97,4.19,5.47,3.9,1.71,3.51,5.03,2.12,6.03,4.2,2.34,6.94,0.34,5.82,0.82,10.1,1.26,6.27,2.2,1.53,5.96,2.88,1.72,5.44,0.21,0.53,4.36,0.49,2.35,1.05,7.08,2.08,3.39,3.88,4.86,1.15,2.26,1.9,4.84,2.66,5.22,3.76,0.28,4.53,5.55,5.3,2.85,1.82,2.83,2.5,2.97,2.94,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,4.46,3.16,2.94,2.95,1.07,3.27,3.3,8.63,1.38,3.96,3.99,3.52,6.81,1.38,2.1,3.1,2.84,6.68,3.03,2.18,1.13,3.14,0.87,2.92,3.86,6.22,2.92,0.67,0.54,3.65,4.81,1.54,1.78,0.59,1.61,0.96,3.11,0.92,4.41,1.93,1.33,1.97,3.79,3.3,2.07,1.11,0.62,4.08,2.1,3.24,1.52,1.87,3.48,2.64,2.43,1.96,1.84,1.98,2.37,0.9,1.72,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.25,1.83,2.16,3.01,3.45,1.52,1.79,1.86,6.1,1.45,2.4,1.22,1.45,2.38,5.52,1.94,1.63,2.45,2.99,4.77,2.52,2.06,1.22,4.4,2.23,0.78,2.81,2.37,1.79,3.6,1.99,3.09,1.43,1.72,1.42,2.55,4.73,2.15,6,2.65,1.29,0.86,0.83,2.27,2.24,1.36,1.58,3.04,2.3,1.05,1.58,7.2,3.48,2.56,5.34,6.46,1.36,3.15,1.77,1.19,2.52,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.77,2.41,2.67,1.62,1.15,1.03,2.3,2.65,2.94,2.09,3.62,2.4,2.07,2.66,3.08,1.4,1.36,1.73,3.59,1.35,3.46,1.65,2.49,0.55,2.23,3.56,4.11,4.34,3.72,4.37,2.29,1.69,1.62,2.38,2.55,4.75,3.6,1.12,2.94,1.13,1.14,1.25,2.78,0.97,1.22,1.98,1.96,2.58,3.05,3.01,1.71,2.05,3.78,2.18,1.39,0.86,2.66,3.88,3.99,3.02,2.98,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.55,2.91,2.28,1,2.25,2.33,2.06,2.02,1.84,1.31,0.66,3.79,1.85,1.36,1.43,2.15,3.53,3.56,1.46,0.47,4.62,2.34,1.51,3.39,0.94,0.73,1.4,1.43,2.49,0.63,1.91,3.09,3.35,2.33,2.31,3,0.18,1.78,1.95,3.27,1.24,1.31,4.21,1.42,1.06,0.43,1.14,2.69,3.27,2.76,3.39,3.81,4.86,1.21,2.58,2.3,2.33,4.37,2.15,1.15,2.16,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.19,2.2,1.1,1.88,4.44,1.18,1.51,4.56,1.38,2.17,2.95,1.63,2.1,2.54,3.68,1.01,2.18,1.52,2.37,3.7,4.83,1.58,4.75,0.7,2.23,1.89,2.67,2.04,4.25,2.42,2.38,3.45,2.21,3.84,3.01,4.5,4.27,2.43,3.52,0.82,4.92,3.15,4.54,5.37,8.27,2.64,2.6,2.39,1.86,1.8,5.08,2.86,5.25,1.09,2.51,4.19,2.2,4.91,2.75,0.74,5.65,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.84,3.39,3.39,0.6,3.15,2.28,1.14,3.57,4.5,2.79,3.31,3.74,3.68,2.4,3.24,2.45,4.6,1.41,2.56,2.58,2.33,3.96,2.6,2.67,3.38,2.99,2.23,5.14,4.39,1.31,2.29,3.38,3.88,4.37,4.61,1.52,1.38,2.58,2.05,3.58,1.92,3.65,1.97,1.74,1.3,3.82,3.7,3.22,1.78,2.12,2.36,0.51,7.91,4.88,3.72,5.77,4.63,2.96,2.38,0.53,7.76,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,4.3,3.75,3.22,5.75,3,1.51,1.18,3.23,2.78,2.41,1.28,1.08,6.04,1.55,0.72,2.42,1.91,2.07,1.52,3.44,1.67,3.96,5.56,3.04,2.94,2.31,0.95,3.21,6.35,2.86,3.68,5.01,3.35,2.05,3.61,1.44,3.57,0.91,3.13,5.2,3.22,4.02,3.31,1.1,1.42,1.2,4.7,2.16,4.65,3.15,5.49,4.94,4.42,1.53,6.54,1.74,3.51,2.86,3.74,3.65,4.9,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,6.55,1.76,4.68,3.5,4.25,1.04,2.57,6.44,2.1,3.15,5.75,2.57,1.02,6.14,0.72,2.55,3.76,2.27,0.81,1.19,7.1,5.91,4.78,1.71,0.58,3.81,3.26,5.01,2.55,2.36,3.72,4.65,5.25,5.96,5.62,3.81,6.7,6.02,5.78,8.41,5.18,1.99,7.5,1.6,3.73,3.9,5.45,4.83,4.11,3.02,0.41,2.3,4.47,2.77,4.41,1.4,4.19,1.06,7.23,4.51,4.62,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.14,1.98,4.31,5.65,3.63,2.6,0.66,4.27,2.43,4.31,4.59,2.89,3.46,2.9,4.56,7.83,4.39,5.35,6.16,3.14,4.41,6.48,4.44,5.91,5.43,1.32,3.26,3.76,2.06,0.92,4.15,4.1,6.56,5.49,6.8,3.43,6.7,1.41,0.93,4.45,2.45,0.56,7.98,4.65,4.9,4.15,1.55,3.68,4.3,0.32,2.72,8.42,4.93,2.9,5.09,3.43,2.65,5.52,4.42,0.72,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,2.8,7.05,8.7,3.1,10.41,6,4.72,1.86,5.26,3.12,3.46,4.3,5,2.67,2.83,3.74,11.27,4.95,7.42,3.49,3.97,2.54,3.69,4.1,2.12,7.33,5.64,2.87,8.1,5.33,2.78,0.66,4.53,7.5,3.04,4.32,5.28,0.5,3.09,1.13,7.91,1.17,3.96,2,4.27,4.82,4.98,2.19,4.64,3.43,2.77,2,5.28,11.06,2.95,7.05,3.82,4.88,9.1,6.65,6.92,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,34.83,34.61,44.37,35.42,43.71,28.14,25.64,51.55,36.83,35.46,45.63,35.94,41.99,33.92,37.61,35.19,41.22,39.63,42.84,31.72,51.46,37.96,40.51,32.85,42.08,41.34,38.29,41.11,41.45,39.52,37.69,39.49,48.68,37.04,43.06,39.3,47.33,27.37,41.09,43.33,34.75,28.81,51.26,33.74,31.99,28.45,32.88,38.18,39.92,32.78,34.62,39.31,56.34,46.03,46.01,43.06,35.6,40.74,45.65,27.73,48.31,44.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1927 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
