"LOCH NESS, FOYERS",,,,,,,,,,,,
Grid ref,NH495212,Long,-4.496544,Lat,57.256632,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.51,3.28,3.67,5.20,3.80,3.73,9.43,3.33,4.61,6.23,,
February,1.40,2.10,0.74,7.26,2.32,4.97,4.19,5.47,3.90,1.71,,
March,1.07,3.27,3.30,8.63,1.38,3.96,3.99,3.52,6.81,1.38,,
April,3.45,1.52,1.79,1.86,6.10,1.45,2.40,1.22,1.45,2.38,,
May,1.15,1.03,2.30,2.65,2.94,2.09,3.62,2.40,2.07,2.66,,
June,2.25,2.33,2.06,2.02,1.84,1.31,0.66,3.79,1.85,1.36,,
July,4.44,1.18,1.51,4.56,1.38,2.17,2.95,1.63,2.10,2.54,,
August,3.15,2.28,1.14,3.57,4.50,2.79,3.31,3.74,3.68,2.40,,
September,3.00,1.51,1.18,3.23,2.78,2.41,1.28,1.08,6.04,1.55,,
October,4.25,1.04,2.57,6.44,2.10,3.15,5.75,2.57,1.02,6.14,,
November,3.63,2.60,0.66,4.27,2.43,4.31,4.59,2.89,3.46,2.90,,
December,10.41,6.00,4.72,1.86,5.26,3.12,3.46,4.30,5.00,2.67,,
Total,43.71,28.14,25.64,51.55,36.83,35.46,45.63,35.94,41.99,33.92,,
Calc annual,43.71,28.14,25.64,51.55,36.83,35.46,45.63,35.94,41.99,33.92,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
