ASCOT-WINKFIELD-MANOR-1ST-GAUGE,,,,,,,,,,
Grid ref,SU909705,Long,-0.69395461,Lat,51.426228,Elevation,240,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.54,2.29,,
February,,,,,,,0.39,2.66,,
March,,,,,,,3.4,3.89,,
April,,,,,,,0.52,1.44,,
May,,,,,,,0.2,1.11,,
June,,,,,,,1.73,2.97,,
July,,,,,,,1.39,0.45,,
August,,,,,,,2.1,2.4,,
September,,,,,,,5.44,2.01,,
October,,,,,,,2.52,0.89,,
November,,,,,,,1.42,1.08,,
December,,,,,,,3.61,2.48,,
Total,,,,,,,23.26,23.67,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is Winkfield Manor, originally known as Manor Farm. Altitudes match.",,,,,,,,,,
Two gauges overlap in 1897 and 3 of the 12 monthly readings are duplicated.,,,,,,,,,,
