ASCOT-WINKFIELD-MANOR-3RD-GAUGE,,,,,,,,,,
Grid ref,SU909705,Long,-0.69395461,Lat,51.426228,Elevation,220,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,
February,,,,,1.66,,,,,
March,,,,,,,,,,
April,,,,,1.05,,,,,
May,,,,,1.98,,,,,
June,,,,,2.68,,,,,
July,,,,2,3.49,,,,,
August,,,,1.54,,,,,,
September,,,,2.04,2.55,,,,,
October,,,,3.56,3.13,,,,,
November,,,,3.85,0.25,,,,,
December,,,,1.61,3.11,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is Winkfield Manor, originally known as Manor Farm. Altitudes match, but gauge might be a different location to the earlier gauges at this location.",,,,,,,,,,
