Rainfall at,TRING, COWROAST LOCK
,
Station no,931,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.14,2.44,3.08,1.61,2.72,1.84,3.06,2.93,4.40,1.66,3.55,
February,0.62,0.33,2.92,4.23,0.57,3.43,2.36,3.64,2.21,0.78,0.75,
March,1.80,1.07,2.25,2.65,0.92,1.01,0.25,2.56,2.29,0.07,1.61,
April,4.37,1.58,3.37,1.91,3.28,2.53,3.13,1.52,0.86,1.42,2.51,
May,1.36,1.39,0.96,2.09,6.45,2.25,2.19,1.64,1.66,1.83,2.87,
June,2.56,0.24,1.22,0.50,2.39,0.02,3.35,3.84,2.44,0.90,0.91,
July,4.80,0.13,4.37,2.97,3.72,6.13,2.75,3.02,2.90,1.94,2.11,
August,1.09,1.27,3.94,2.62,2.28,2.31,0.91,4.50,2.51,0.42,2.36,
September,2.66,1.98,2.14,2.40,3.65,3.41,2.26,4.83,0.69,0.20,3.55,
October,1.60,0.82,0.90,5.03,4.06,4.04,2.41,1.92,4.76,3.90,0.98,
November,1.58,2.10,1.46,1.75,2.99,2.08,5.13,3.23,3.37,7.00,4.65,
December,2.56,1.60,2.93,2.91,4.10,2.10,0.48,2.62,2.64,5.80,2.85,
Total,28.14,14.95,29.54,30.67,37.13,31.15,28.28,36.25,30.73,25.92,28.70,
Calc annual,28.14,14.95,29.54,30.67,37.13,31.15,28.28,36.25,30.73,25.92,28.70,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
