TRING COW ROAST LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP957104,Long,-0.6183,Lat,51.7848,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,1.69,3.62,1.64,2.58,2.1,2.37,0.93,4.58,5.16,3.68,5.47,2.72,2.55,3.09,4.98,1.92,2.26,2.07,1.85,5.14,1.59,0.91,3.49,1.83,1.25,1.1,2.46,3.85,1.38,2.78,3.55,3.05,,
February,,,,,,,,,,0.8,0.79,2.36,0.33,3.09,0.21,2.86,2.97,4.53,0.71,1.32,2.33,2.56,0.98,1.2,1.13,1.97,2.26,1.73,0.97,1.48,5.05,4.95,0.77,2.09,2.45,1.98,0.33,3.2,2.82,0.04,3.22,,
March,,,,,,,,,,0.07,1.68,0.05,2.03,3.39,2.73,0.52,1.49,3.49,0.45,1.84,2.36,2.91,1.57,0.49,0.2,0.67,1.62,5.48,0.97,1.47,1.01,3.28,2.51,0.64,2.79,1.34,0.9,1.38,1.53,2.57,1.31,,
April,,,,,,,,,,1.51,2.62,3.9,2.79,1.32,1.82,4.26,1.45,3.26,0.1,2.67,2.02,2.12,1.71,1.19,2.36,1.46,1.65,2.3,2.22,1.76,2.19,3.09,1.82,2.29,0.29,0.52,0.98,0.21,1.02,2.15,0.64,,
May,,,,,,,,,,1.92,3,3.16,4.54,1.78,0.69,1.38,0.96,4.04,1.91,1.65,1.59,2.65,3.44,2.74,0.72,1.91,3.09,1.47,2.98,1.85,2.48,2.62,1.95,1.64,3.61,4.36,0.45,1.3,2.45,0.8,2.01,,
June,,,,,,,,,,1.01,0.95,1.09,0.9,1.68,0.99,3.69,4.15,2.24,0.81,2.41,1.68,1.42,0.4,1.99,1.55,2.41,3.47,1.94,2.94,0.6,1.49,1.75,0.92,2.21,3.68,2.48,2.35,1.83,3.95,1.68,2.6,,
July,,,,,,,,,,2.04,2.22,4.31,2.88,1.48,1.45,1.3,4.46,1.36,2.13,3.04,2.32,5.36,1.91,1.16,1.6,2.31,1.85,1.37,1.23,1.61,6.27,1.37,0.45,3.42,2.41,0.73,4.23,2.02,2.41,3.07,3.79,,
August,,,,,,,,,,0.44,2.46,5.57,2.09,0.7,2.33,1.81,0.35,1.12,2.17,3.14,0.05,4.16,2.2,2.11,2.18,1.06,3.76,0.16,2.53,1.6,3.73,4.38,4.89,2.15,3.26,0.54,5.23,3.41,3.68,2.32,3.67,,
September,,,,,,,,,,0.2,3.67,2.37,2.6,2.08,1.92,4.64,3.77,2.76,1.63,0.68,1.03,0.47,1.27,1.41,2.58,2.1,4.03,1.44,2.83,1.39,3.2,2.94,3.32,2.2,1.83,1.91,2.55,3.04,4.16,0.44,3.27,,
October,,,,,,,,,,3.95,1.09,0.66,4.75,1.85,1.75,3.66,2,3.24,3.61,3.63,3.75,1.14,3.61,2.69,3.59,3.27,1.2,0.23,2.74,6.16,0.66,1.05,2.89,2.36,2.06,2.7,1.52,2.69,3.18,2.46,6.36,,
November,,,,,,,,,,7.11,4.81,3.23,1.94,1.32,2.21,5.06,3.57,1.62,3.58,4.88,8.38,2.79,1.54,1.04,4.14,0.84,6.6,1.33,1.63,3.08,5.23,5.46,3.87,0.97,5.5,1.44,0.7,2.18,2.69,2.9,5,,
December,,,,,,,,,,5.92,2.96,0.97,0.59,0.49,5.77,3.52,2.94,3.6,3.91,1.95,1.55,1.42,3.1,1.38,2.06,3.47,2.48,3.18,3.29,1.54,2.03,1.82,3.29,0.74,2.8,2.95,4.2,2.39,3.01,4.89,3.68,,
Total,,,,,,,,,,26.66,29.87,29.31,28.02,21.28,24.24,33.63,32.69,36.42,24.69,32.68,29.78,29.55,24.82,22.38,24.03,23.73,34.08,22.48,29.47,24.13,34.25,36.2,28.51,21.96,31.78,23.41,27.29,25.03,33.68,26.87,38.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed figures from 1920 & 1922 which were not records but columns used for workings out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
