"MINEHEAD (WEIRFIELD)",,,,,,,,,,,,
Grid ref,SS969467,Long,-3.477349,Lat,51.210169,,,,,,,
Station no,2100/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.56,3.68,0.78,1.87,3.22,3.58,,,,,,
February,4.77,1.14,1.65,3.71,2.22,0.18,,,,,,
March,2.91,1.38,1.05,3.39,1.20,0.93,,,,,,
April,3.35,3.01,2.75,0.55,1.14,1.14,,,,,,
May,2.75,3.49,2.19,2.26,3.85,0.38,,,,,,
June,0.73,1.75,1.89,2.99,2.37,1.15,,,,,,
July,1.39,1.63,3.10,2.91,0.92,2.79,,,,,,
August,3.02,4.71,3.15,2.69,0.61,3.05,,,,,,
September,2.42,3.03,4.69,4.47,1.82,3.39,,,,,,
October,1.42,3.68,2.92,3.41,1.75,2.14,,,,,,
November,6.05,5.02,2.20,7.50,3.03,0.71,,,,,,
December,3.37,2.80,1.06,3.03,4.63,3.86,,,,,,
Total,35.74,35.32,27.43,38.78,26.76,23.30,,,,,,
Calc annual,35.74,35.32,27.43,38.78,26.76,23.30,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
