MINEHEAD-MARIANSLEIGH (Weirfield),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS969467,Long,-3.477349,Lat,51.210169,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2100/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,-999,4.55,,,,,,,,,,,,,,,,,,5.94,3.86,5.07,3.25,3.58,3.34,6.61,2.17,3.37,3.4,3.64,6.83,1.39,1.02,3.56,3.68,0.78,1.87,3.22,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,-999,3.13,,,,,,,,,,,,,,,,,,4.57,0.98,1.56,2.2,3.03,0.34,2.33,0.64,2.81,3.49,1.14,1.78,1.64,5.9,4.77,1.14,1.65,3.71,2.22,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,-999,5.24,,,,,,,,,,,,,,,,,,3.73,0.09,1.59,2.05,3.52,2.06,1.28,0.17,1.05,0.93,5.78,1.46,1.44,1.51,2.91,1.38,1.05,3.39,1.2,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.75,2.2,,,,,,,,,,,,,,,,,,2.56,0.27,3.34,3.76,1.2,1.94,0.66,1.49,0.81,2.98,3.42,2.31,1.95,2.18,3.35,3.01,2.75,0.55,1.14,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.15,0.73,,,,,,,,,,,,,,,,,,2.21,2.19,0.97,1.37,1.63,4.29,3.03,1.39,3.84,4.19,2.39,3.11,1.94,2.26,2.75,3.49,2.19,2.26,3.85,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,0.74,1.55,1.76,0.79,1.7,0.55,1.36,2.72,2.49,2.13,1.75,1.81,0.62,0.74,0.73,1.75,1.89,2.99,2.37,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.14,,,,,,,,,,,,,,,,,,,2.52,3.12,4.19,4.74,1.49,1.93,2.24,1.4,3.1,2.34,1.37,1.93,2.6,2.81,1.39,1.63,3.1,2.91,0.92,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,0.82,5.5,2,0.15,3.79,4.17,1.77,4.75,1.65,6.07,0.79,3.25,2.12,5.42,3.02,4.71,3.15,2.69,0.61,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,7.69,,,,,,,,,,,,,,,,,,,3.96,1.08,0.69,1.81,0.61,2.36,5.41,2.36,2.29,3.82,1.55,1.44,3.02,5.24,2.42,3.03,4.69,4.47,1.82,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,3.91,3.73,2.37,4.8,2.22,2.52,3.02,3.25,3.62,1.06,0.64,3.46,7.16,1.8,1.42,3.68,2.92,3.41,1.75,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,3.34,,,,,,,,,,,,,,,,,,,1.72,5.23,6.89,7.7,2.59,1.49,3.11,6.05,1.17,6.26,3.11,1.63,4.9,6.52,6.05,5.02,2.2,7.5,3.03,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,4.99,,,,,,,,,,,,,,,,,,,2.84,4.71,2.67,2.74,2.23,4.06,2.56,4.66,5.01,4.23,2.23,4.54,1.74,3.09,3.37,2.8,1.06,3.03,4.63,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
