"MINEHEAD, MARIANSLEIGH",,,,,,,,,,,,
Grid ref,SS969464,Long,-3.477262,Lat,51.207472,,,,,,,
Station no,2100/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.14,1.10,5.79,2.16,1.29,2.30,,
February,,,,,4.67,0.82,2.94,1.78,1.93,0.36,,
March,,,,,2.61,4.37,1.92,0.97,4.00,3.45,,
April,,,,,0.65,1.79,1.47,3.45,1.94,1.87,,
May,,,,,2.11,0.16,1.56,2.66,0.96,1.59,,
June,,,,,0.64,2.48,1.92,1.71,0.27,2.60,,
July,,,,,0.50,1.64,0.88,1.69,1.26,1.21,,
August,,,,,,4.49,1.95,1.93,3.28,1.92,,
September,,,,,0.91,1.19,0.67,0.63,3.43,3.29,,
October,,,,,1.34,1.57,4.86,4.58,1.76,4.49,,
November,,,,,2.07,4.53,3.39,2.62,1.56,1.70,,
December,,,,,2.51,1.66,2.27,4.80,3.66,5.53,,
Total,,,,,,25.80,29.62,28.98,25.34,30.31,,
Calc annual,0.00,0.00,0.00,0.00,21.15,25.80,29.62,28.98,25.34,30.31,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,,
