COBHAM-UPLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ124600,Long,-0.38715,Lat,51.32869,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.1,3.4,1.5,3.77,1.49,2.85,1.82,2.01,1.01,4.19,4.61,2.85,4.37,2.39,2.71,2.4,4.83,1.51,1.66,1.27,1.47,,,
February,,,,,,,,4.39,1.92,0.51,0.8,1.72,0.35,3.64,0.34,2.89,1.97,4.4,0.62,1.36,1.81,2.3,0.72,1.48,0.95,1.3,2.48,1.41,,,
March,,,,,,,,3.22,2.42,0.12,1.42,0.32,1.44,2.63,2.35,0.63,1.76,3.9,0.4,1.28,3.5,3.32,1.7,0.36,0.21,1.16,1.3,4.96,,,
April,,,,,,,,1.78,1.98,1.01,1.69,4.61,3.03,0.83,2.33,2.84,1.94,2.74,0.07,3.02,2.36,1.91,1.17,1.18,1.31,1.31,1.9,1.98,,,
May,,,,,,,,1.27,2.71,1.49,2.47,2.69,4.86,3.03,0.68,1.82,0.75,2.9,2.17,1.69,1.54,2.13,3.38,2.16,0.9,1.74,3.74,1.37,,,
June,,,,,,,,3.91,2.5,1.24,0.57,1.54,1.18,1.58,1.05,4.05,3.98,2.14,0.71,1.58,0.58,2.48,0.57,1.74,2.12,2.21,2.95,2.89,,,
July,,,,,,,,2.81,2,1.36,2.26,3.38,2.84,1.68,2.19,1.1,3.35,0.79,1.26,2.7,2.7,4.07,1.97,1.93,1.67,4.31,2.62,1.69,,,
August,,,,,,,,3.87,2.96,2.49,2.52,4.2,1.17,0.88,1.89,3.33,1.13,2.02,1.73,2.37,0.1,5.17,2.44,1.17,2.24,1.83,4.39,0.35,,,
September,,,,,,,,4.83,1.01,0.18,3.5,2.51,2.05,2.7,1.44,3.32,3.05,2.36,2.02,1.24,1.43,0.49,1.51,2.09,2.12,2.36,3.54,1.18,,,
October,,,,,,,,1.71,5.04,3.31,1.17,0.87,5.59,1.92,1.69,3.11,2.46,2.7,2.82,5.78,2.56,1.37,3.71,2.95,3.15,2.53,1.44,0.21,,,
November,,,,,,,,3.22,1.93,6.68,4.53,3.05,1.39,1.23,2.3,5.5,3.63,1.83,4.46,4.52,7.61,2.96,2.2,1.41,3.35,0.81,3.35,1.07,,,
December,,,,,,,,3.31,2.57,6.44,2.19,0.59,0.62,0.54,5.56,2.78,2.7,4.28,3.83,1.37,1.45,1.86,2.74,1.69,1.68,2.8,2.48,3.08,,,
Total,,,,,,,,36.42,30.44,26.33,26.89,26.97,27.37,22.48,23.83,32.38,30.91,34.67,22.94,31.28,28.03,30.77,24.51,22.99,21.21,24.02,31.46,21.66,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read about 9am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Gauge moved 80yds away from trees in spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Nov Observer died No record received for year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
