CROXTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TL263598,Long,-0.15248411,Lat,52.221936,Elevation,207,ft,,,,,,,,,,,,
Station no,RR7283,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.74,1.22,1.19,,,,,,,,
February,,,,,,,,,,0.37,2.01,0.7,,,,,,,,
March,,,,,,,,,,3.55,0.76,1.65,,,,,,,,
April,,,,,,,,,,1.25,2.5,1,,,,,,,,
May,,,,,,,,,,1.36,2.3,0.82,,,,,,,,
June,,,,,,,,,,4.38,1.64,2.59,,,,,,,,
July,,,,,,,,,,3.27,2.05,0.33,,,,,,,,
August,,,,,,,,,1.92,1.77,1.53,0.97,,,,,,,,
September,,,,,,,,,1.48,1.63,0.88,1.33,,,,,,,,
October,,,,,,,,,1.14,3.61,2.18,1.66,,,,,,,,
November,,,,,,,,,0.77,0.48,2.95,,,,,,,,,
December,,,,,,,,,1.39,2.78,4.79,,,,,,,,,
Total,,,,,,,,,,25.19,24.81,,,,,,,,,
