BRENCHOILLIE,,,,,,,,,,,,
Grid ref,NN019022,Long,-5.192552,Lat,56.171150,,,,,,,
Station no,5426/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.67,8.05,10.48,9.31,4.30,7.05,12.02,7.49,3.09,5.62,,
February,3.73,5.03,5.87,5.39,4.50,3.40,4.40,4.79,3.63,6.16,,
March,5.65,6.10,3.53,5.00,1.64,4.86,9.27,2.37,5.28,2.88,,
April,5.66,4.10,4.86,4.23,6.65,3.32,3.80,4.04,5.68,7.37,,
May,0.86,2.03,3.59,4.25,4.26,6.20,1.73,6.03,2.05,3.40,,
June,2.63,5.97,1.18,7.19,6.59,3.88,4.91,2.14,5.27,5.21,,
July,7.36,5.38,8.94,6.40,1.19,7.80,9.20,3.78,9.48,6.00,,
August,5.92,8.57,8.58,7.83,3.49,5.48,7.71,6.86,3.67,4.76,,
September,5.40,7.61,11.28,11.65,11.46,6.78,5.53,6.07,3.70,4.85,,
October,5.27,8.13,6.71,15.23,10.24,7.30,13.44,7.39,10.85,3.10,,
November,12.89,3.63,14.96,11.41,3.51,6.53,4.81,3.89,8.68,8.05,,
December,14.94,8.69,8.95,14.73,15.09,13.74,10.66,7.16,13.11,12.21,,
Total,76.98,73.29,88.93,102.62,72.92,76.34,87.48,62.01,74.49,69.61,,
Calc annual,76.98,73.29,88.93,102.62,72.92,76.34,87.48,62.01,74.49,69.61,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
