"KILSYTH, CORRIE RESERVOIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS695793,Long,-4.093514,Lat,55.988862,Elevation,856,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,,,,3.6,4.5,4.7,8.9,4.1,6,5.1,10.6,12.3,7.06,,,,,,,,
February,,,,,,,,,,,,,,5.2,4.25,4.5,4.9,1.8,9.1,1.4,9.7,2.9,4.8,,,,,,,,
March,,,,,,,,,,,,,,6.3,6.1,2.5,2.2,3.3,1.9,3.4,5.7,8.9,2.1,,,,,,,,
April,,,,,,,,,,,,,,3.9,3.9,4.2,5.25,1.7,0.9,2.7,3.4,1.5,2.2,,,,,,,,
May,,,,,,,,,,,,,,3.7,2.9,1.6,5.9,3.04,2,1,7.4,2.8,4.6,,,,,,,,
June,,,,,,,,,,,,,,4.8,1.2,1.9,4.25,3.1,1.3,3.7,2.3,0.7,3.2,,,,,,,,
July,,,,,,,,,,,,,,1.5,2.05,5.9,4,3.3,3.5,0.8,4.8,3.9,3.4,,,,,,,,
August,,,,,,,,,,,,,,2.25,5.2,3.05,4.3,6.6,4.5,4.2,7.9,9.5,3.1,,,,,,,,
September,,,,,,,,,,,,,,3.05,3.1,3.2,1.8,5.3,6.8,4.6,5.8,4,3.6,,,,,,,,
October,,,,,,,,,,,,,,2.9,2.8,3.5,9,7.5,6.1,1.5,2.5,5.9,2.2,,,,,,,,
November,,,,,,,,,,,,,,7.5,7.2,2.9,7.8,11.9,6.5,6.3,5.8,4.02,3.4,,,,,,,,
December,,,,,,,,,,,,,,6.5,8.5,6.1,7,4.1,4.9,7.6,5.2,10.5,4.9,,,,,,,,
Total,,,42.49,79.18,53.65,45.85,63.81,72.6,56.95,59.02,57.6,68.75,70.2,51.2,51.7,44.05,65.3,55.74,53.5,42.3,71.1,66.92,44.56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This site states location and that the Reservoir is now dry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.geograph.org.uk/photo/1825167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
