ROBOROUGH-EBBERLY,,,,,,,,,,,,,,,,,,,,
Grid ref,SS564185,Long,-4.04552,Lat,50.94804,Elevation,506,ft,,,,,,,,,,,,
Station no,RR8536,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,2.35,5.54,1.46,3.7,4.69,1.87,2.89,,,,
February,,,,,,,,,,0.43,5.34,1.97,1.89,1.14,2.54,2.78,,,,
March,,,,,,,,,,5.59,0.51,1.75,5,4.07,5.33,0.66,,,,
April,,,,,,,,,,3.17,2.37,2.71,0.14,4.56,1.53,1.04,,,,
May,,,,,,,,,,1.34,2.7,1.04,1.77,2.29,1.32,2.02,,,,
June,,,,,,,,,,2.3,3.34,3.46,6.21,1.85,1.8,1.38,,,,
July,,,,,,,,,,2.33,2.9,0.3,2.79,0.59,3.74,3.26,,,,
August,,,,,,,,,,1.39,4.48,2.4,7.63,1.78,2.69,2,,,,
September,,,,,,,,,1.95,3.07,0.15,2.44,0.85,1.48,2.62,1.15,,,,
October,,,,,,,,,1.38,6.75,5.3,4.03,5.22,3.89,,3.5,,,,
November,,,,,,,,,1.82,1.88,6.08,5.38,3.17,4.16,,1.79,,,,
December,,,,,,,,,4.36,5.93,4.4,6.63,4.67,3.58,,3.96,,,,
Total,,,,,,,,,,36.53,43.11,33.57,43.04,34.08,,26.43,,,,
,,,,,,,,,,,,,,,,,,,,
Large gardens No notes to help locate gauge,,,,,,,,,,,,,,,,,,,,
1914 Oct-Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,
1915 Not printed Bad,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Annual values rejected from 1929 Survey Map,,,,,,,,,,,,,,,,,,,,
