ECCLESFIELD-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK366939,Long,-1.4504845,Lat,53.44061,Elevation,172,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.62,2.27,1.45,5.19,1.56,3.86,2.39,2.11,2.42,2.31,1.37,3.13,4.59,3.2,5.24,1.62,4.02,2.85,3.76,3.21,2.79,3.19,2.48,5.44,1.15,1.37
February,,,,,,3.48,1.77,1.26,3.85,0.86,0.89,2.47,0.48,3.92,0.53,3.41,3.13,4.11,1.16,1.29,2.36,3.05,0.94,1.18,1.83,2.4,3.22,3.04,1.93,1.19,5.34
March,,,,,,0.59,0.83,2.1,2.33,0.11,2.72,0.32,1.66,2.92,2.72,1.49,2.08,3.1,0.19,2.13,2.06,5.16,2.25,0.83,0.46,0.76,1.37,4.86,0.62,1.18,1.21
April,,,,,,2.63,1.18,2.28,1.2,1.22,2.82,3.17,3.15,1.6,2.43,2.2,1.54,2.45,0.15,1.82,2.73,1.6,1.27,1.74,2.18,1.8,1.45,2.68,1.53,2.56,3.02
May,,,,,,3.38,2.28,1.05,1.61,1.59,1.77,2.93,8.15,2.5,1.63,0.45,1.62,3.1,2.51,1.82,0.82,2.15,3.36,2.61,2.4,3.54,2.2,1.93,1.23,1.69,1.57
June,,,,,,0.11,2.63,3.25,3.4,1.21,1.11,4.82,0.65,0.81,0.86,2.61,4.12,1.41,1.99,2.33,0.7,0.19,1.38,1.24,2.27,3.35,3.22,3.21,2.73,0.54,1.04
July,,,,,,1.07,2.54,2.2,0.65,0.84,5.89,5.2,3.72,1.94,1.71,0.84,3.16,3.23,3.04,4.15,2.93,4.09,1.85,0.89,2.54,2.01,2.95,1.64,1.19,3.53,1.48
August,,,,,,2.47,2.29,4.64,2.2,2.83,2.48,5.17,2.87,0.56,0.6,3.03,0.94,0.3,2.97,1.79,0.23,2.32,4.12,2.11,2.74,2.54,2.54,0.63,4.35,1.28,2.99
September,,,,,,2.24,1,3.5,0.33,1.89,3.93,3.83,1.3,1.91,1.58,3.82,2.71,1.38,2.48,2.34,1.19,0.41,1.29,3.17,3.67,0.87,4.21,1.3,1.22,1.44,3.13
October,,,,,,2.97,2.65,2.12,4.43,2.97,2.68,0.68,3.72,5.45,1.93,3.89,2.71,3.09,4.31,3.45,4.19,3.45,2.49,1.76,2.67,4.89,1.41,0.56,1.38,3.06,0.85
November,,,,,,1.74,3.21,2.68,3.81,5.03,3.24,3.97,1.82,1.85,2.83,5.23,3.31,2.19,3.09,4.66,6.26,3.66,1.37,2.48,5.6,0.21,5.99,1.9,1.13,3.81,4.77
December,,,,,,2.58,1.25,2.55,2.14,6.06,2.38,0.97,1.18,0.61,4.28,3.08,2.45,4.02,3.34,2.33,2.39,1.09,1.6,1.11,2.61,1.62,2.77,2.24,3.27,3.08,1.42
Total,,,,,,25.88,23.9,29.08,31.14,26.17,33.77,35.92,30.81,26.49,23.41,31.42,30.9,32.97,28.43,33.35,27.48,31.19,24.77,22.88,32.18,26.78,34.52,26.47,26.02,24.51,28.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is the sewage works. Atitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
