DENTON-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM285874,Long,1.36023,Lat,52.436776,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.82,2.71,2.61,2.22,1.6,4.53,1.46,2.05,1.1,2.49,1.31,4.03,1.76,1.93,,,,,,,,,,
February,,,,,,,,0.8,0.77,2.47,0.64,0.28,2.26,3.34,1.63,2.1,2.23,2.46,1.36,0.71,1.02,,,,,,,,,,
March,,,,,,,,2.46,0.68,2.17,0.9,0.69,1.63,1.44,0.34,1.45,0.31,2.38,2.25,0.08,1.13,,,,,,,,,,
April,,,,,,,,1.56,3.6,1.99,3.29,1.2,2.67,0.62,2.23,2.72,2.53,1.59,1.6,1.19,2.47,,,,,,,,,,
May,,,,,,,1.93,0.57,0.79,0.56,1.46,0.82,0.59,1.33,4.3,2.72,1.8,0.48,1.94,0.92,2.91,,,,,,,,,,
June,,,,,,,2.2,3.28,1.34,1.14,1.73,0.38,1.66,0.7,1.17,0.76,2.53,4.57,2.07,0.74,1.27,,,,,,,,,,
July,,,,,,,0.74,2.8,3.01,2.68,3.01,0.31,5.16,1.98,2.07,1.54,1.73,2.9,2.17,4.45,3.48,,,,,,,,,,
August,,,,,,,3.45,3.68,1.46,2.63,1.63,1.96,1.45,2.75,2.2,2.72,1.93,3.29,1.8,1.15,2.43,,,,,,,,,,
September,,,,,,,1.03,1.75,3.72,0.77,1.83,1.34,3.47,1.94,3.94,2.77,0.7,3,1.02,1.41,6.13,,,,,,,,,,
October,,,,,,,2.46,3,2.49,3.21,0.68,0.61,1.31,2.86,4.58,1.91,2.75,2.47,1.96,3.13,0.89,,,,,,,,,,
November,,,,,,,2.62,1.52,1.79,2.48,0.61,1.45,1.65,2.76,1.34,3.35,3.56,4.42,2.9,3.74,3.96,,,,,,,,,,
December,,,,,,,3.19,1.94,3.19,3.89,3.16,1.74,1.47,2.68,2.39,2.64,1.15,2.7,3.46,4.87,2.4,,,,,,,,,,
Total,,,,,,,,25.18,25.55,26.6,21.16,12.38,27.85,23.86,28.24,25.78,23.71,31.57,26.56,24.15,30.02,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_09_pt1-page-122.csv is blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Apr estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
