DENTON RECTORY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1401,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.22,1.60,4.53,1.46,2.05,1.10,2.49,1.31,4.03,1.76,1.93,
February,0.64,0.28,2.26,3.34,1.63,2.10,2.23,2.46,1.36,0.71,1.02,
March,0.90,0.69,1.63,1.44,0.34,1.45,0.31,2.38,2.25,0.08,1.13,
April,3.29,1.20,2.67,0.62,2.23,2.72,2.53,1.59,1.60,1.19,2.47,
May,1.46,0.82,0.59,1.33,4.30,2.72,1.80,0.48,1.94,0.92,2.91,
June,1.73,0.38,1.66,0.70,1.17,0.76,2.53,4.57,2.07,0.74,1.27,
July,3.01,0.31,5.16,1.98,2.07,1.54,1.73,2.90,2.17,4.45,3.48,
August,1.63,1.96,1.45,2.75,2.20,2.72,1.93,3.29,1.80,1.15,2.43,
September,1.83,1.34,3.47,1.94,3.94,2.77,0.70,3.00,1.02,1.41,6.13,
October,0.68,0.61,1.31,2.86,4.58,1.91,2.75,2.47,1.96,3.13,0.89,
November,0.61,1.45,1.65,2.76,1.34,3.35,3.56,4.42,2.90,3.74,3.96,
December,3.16,1.74,1.47,2.68,2.39,2.64,1.15,2.70,3.46,4.87,2.40,
Total,21.16,12.38,27.85,23.86,28.24,25.78,23.71,31.57,26.56,24.15,30.02,
Calc annual,21.16,12.38,27.85,23.86,28.24,25.78,23.71,31.57,26.56,24.15,30.02,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,
