"NEVENDON PUMPING STATION",,,,,,,,,,,,
Grid ref,TQ745910,Long,0.517673,Lat,51.590826,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.72,,
February,,,,,,,,,,0.84,,
March,,,,,,,,,,2.08,,
April,,,,,,,,,,1.60,,
May,,,,,,,,,,0.76,,
June,,,,,,,,,,2.96,,
July,,,,,,,,,,3.00,,
August,,,,,,,,,,2.99,,
September,,,,,,,,,,2.19,,
October,,,,,,,,,,4.01,,
November,,,,,,,,,,0.94,,
December,,,,,,,,,,2.87,,
Total,,,,,,,,,,24.96,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.96,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
