ETWALL-SEWAGE-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK274298,Long,-1.5944405,Lat,52.86499,Elevation,201,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.73,0.78,2.94,2.69,1.47,2.21,1.35,1.7,1.55,2.6,,,,,,,,,,,,1.61,1.87,1.95,2.5,0.93,3.21,3.08,3.17,4.31,1.66,2.36,2.3,3.95,2.92,1.2,2.27,1.37,4.63,1.15,1,2.15,2.27,1.12,1.03,2.1,3,1.81,2.54,3.07,5.19
February,1.7,1.01,1.51,0.96,1.14,2.02,3.8,1.05,1.49,2.01,,,,,,,,,,,,2.84,0.25,3.34,0.36,1.96,1.63,3.59,0.7,1.14,2.57,2.16,0.73,0.75,1.12,2.59,3.98,0.8,1.38,0.81,4.67,2.53,0.55,1.67,2.17,1.76,0.62,1.97,3.43,0.32,1.53
March,0.44,1.06,3.09,3.67,2.4,1.1,3.6,1.05,1.11,3.9,,,,,,,,,,,,0.15,1.86,2.1,1.68,0.71,1.39,1.88,0.34,1.28,2.01,2.7,2.07,1.31,0.19,0.84,0.66,4.59,0.91,1.65,0.91,3.94,2.04,1.18,1.86,2.49,1.15,2.32,1.69,1.79,1.5
April,2.27,0.89,0.27,2.61,0.75,0.7,1.48,0.83,0.99,1.32,,,,,,,,,,,,3.48,2.35,1.28,2.02,2.59,1.63,2.22,0.12,1.8,1.81,1.71,1.1,0.76,2.33,1.72,1.13,1.91,1.63,2.3,2.04,1.68,1.86,2.39,0.45,1.38,1.02,0.22,0.94,2.46,1.19
May,2.07,0.54,2.34,1.77,1.9,1.43,2.31,2.69,2.4,0.95,,,,,,,,,,,,2.27,6.71,2.08,0.91,0.44,0.42,2.19,1.51,0.99,1.11,2.58,3.18,2.9,1.16,2.42,1.47,1.62,1.65,1.97,1.31,2.42,3.08,2.49,2.64,3.06,0.72,0.88,2.08,0.49,1.41
June,1.26,2.46,5.07,0.97,1.31,1.63,1.52,2.17,0.68,1.27,,,,,,,,,,,,3.82,0.78,2.61,0.94,3.85,4.31,1.2,1.8,1.06,0.81,0.87,0.06,2.32,2,2.76,2.82,1.41,2.89,0.23,0.73,0.94,2.59,2.63,3.09,3.51,3.24,1.38,4.55,0.74,3.81
July,2.37,0.22,3.45,1.13,3.36,7.54,2.67,1.17,3.03,1.87,,,,,,,,,,,,4.74,3.55,2.76,1.39,0.39,4,2.34,3.7,4.17,2.7,5.47,2.34,1.16,3.01,2.35,1.17,3.81,1.75,2.91,2.06,0.74,0.92,2.25,2.11,0.61,2.41,3.27,4.49,2.1,3.9
August,2.91,1.42,6.68,2.28,1.67,2.36,1.64,4.46,2.24,2.22,,,,,,,,,,,,5.58,3.3,0.79,2.07,1.8,0.82,0.46,2.02,2.18,0.38,4.14,3.28,2.15,2.87,2.06,3.98,0.61,5.05,1.53,2.37,6.3,1.58,2.43,4.01,0.48,5.06,2.73,1.49,0.59,4.77
September,0.37,1.27,0.82,2.29,0.86,0.65,0.88,1.29,4.6,1.58,,,,,,,,,,,,2.66,2.22,1.37,2.01,3.67,2.79,1.32,2.97,0.59,0.58,0.33,1.36,2.15,3.27,2.25,4.28,1.74,2.23,1.28,3.81,1.77,1.31,1.93,2.77,1.53,2.22,5.24,2.64,0.05,4.6
October,2.36,1.88,2.77,2.86,1.8,1.54,2.73,3.75,1.08,2.35,,,,,,,,,,,,0.81,3.35,4.2,1.92,3.28,1.61,2.1,2.67,2.79,3.72,2.99,2.16,1.7,2.64,4,1.33,0.37,2.07,4.06,1.02,0.8,3.04,2.22,3.53,1.99,1.25,1.76,2.37,2.38,5.32
November,3.93,2,1.67,2.38,3.17,2.1,2.76,1.24,1.22,1.41,,,,,,,,,,,,3.34,2.01,1.18,2.05,4.68,2.37,1.8,2.86,4.22,5.86,2.82,1.15,1.76,4.02,0.26,4.56,2.12,1.54,3.28,3.99,5.37,1.72,1.77,4.51,2.26,0.8,1.84,1.65,3.28,3.54
December,4.18,3.5,3.18,1.24,4.79,4.42,2.59,1.11,3.1,3.69,,,,,,,,,,,,1.08,0.84,0.2,4.25,4.03,2,2.52,2.98,1.75,2.11,1.16,2.24,1.08,1.49,2.07,2.6,2.7,3.74,2.07,1.57,2.29,2.71,1.27,3.56,2.1,2.89,1.91,3.06,4.1,3.19
Total,25.59,17.03,33.79,24.85,24.62,27.7,27.33,22.51,23.49,25.17,24.98,16.64,24.35,29.11,27.32,29.76,27.4,30.64,29.4,24.6,35.03,32.38,29.09,23.86,22.1,28.33,26.18,24.7,24.84,26.28,25.32,29.29,21.97,21.99,27.02,24.52,30.25,23.05,29.47,23.24,25.48,30.93,23.67,23.35,31.73,23.27,24.38,25.33,30.93,21.37,39.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is a sewage farm near Etwall. Altitudes match. 1920s record missing annual totals are from British Rainfall reports.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
