REETH - ESKELETH HOUSE,,,,,,,,,
Grid ref,NY999038,Long,-2.003,Lat,54.430,Elevation,947,ft,
Station no,RR6016,,,,,,,,
,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883
January,8.11,1.50,7.27,4.53,0.95,0.55,1.48,4.58,5.92
February,1.70,6.08,3.56,1.60,4.41,4.67,5.65,3.34,4.67
March,1.20,6.07,6.05,2.06,3.13,1.81,5.18,4.26,1.96
April,1.76,3.53,4.70,3.04,2.95,2.74,1.54,4.65,2.65
May,1.95,1.25,3.53,5.93,1.93,1.66,2.82,1.87,2.44
June,2.95,3.00,1.83,2.85,4.61,3.50,3.05,4.49,3.49
July,5.46,1.78,6.78,1.13,4.52,6.80,3.95,5.55,5.24
August,3.62,2.60,8.12,7.41,4.91,3.10,6.70,2.66,2.88
September,4.95,5.45,3.67,3.86,2.26,5.87,5.10,2.52,4.99
October,6.33,3.00,6.18,3.88,1.73,8.34,6.12,5.06,5.50
November,7.33,4.96,7.58,6.94,3.06,5.69,5.78,7.42,3.93
December,3.93,11.44,3.60,4.87,3.59,7.34,4.94,4.30,3.32
Total,49.29,50.66,62.87,48.10,38.05,52.07,52.31,50.70,46.99
,,,,,,,,,
TYRain_1870-1879_08_pt3/046,,,,,,,,,
TYRain_1880-1889_11_pt2/038,,,,,,,,,
,,,,,,,,,
"# Eskeleth Hall is shown on the OS map, rather than Eskeleth House.",,,,,,,,,
