DULLAN BRAE DUFFTOWN,,,,,,,,,,
Grid ref,NJ 32599 39910,Long,-3.124589,Lat,57.444482,Elevation,579,ft,,
Station no,RR3123,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,1.18,1.56,1.69,1.14,1.3,
February,,,,,2.67,2.61,0.76,1.05,2.4,
March,,,,,0.99,4.94,2.27,1.18,3.2,
April,,,,,3.21,2.56,2.18,1.65,3.34,
May,,,,,2.85,1.32,6.23,3.5,1.24,
June,,,,,1.34,0.58,0.61,5.78,1.24,
July,,,,,1.28,1.99,1.94,2.91,3.92,
August,,,,,1.31,4.13,5.03,2.42,2.18,
September,,,,,1.82,1.85,2.15,0.93,5.67,
October,,,,,1.72,5.36,6.78,3.76,0.66,
November,,,,,0.8,7.21,8.51,1.73,1.99,
December,,,,,3,1.07,2.1,0.99,1.57,
Total,,,,,22.17,35.18,40.25,27.04,28.71,
