DUFFTOWN,,,,,,,,,,,
Grid ref,NJ 33001 39693,Long,-3.117842,Lat,57.442587,Elevation,552,ft,,,
Station no,RR3123,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.86,2.27,3.42,,,
February,,,,,,7.02,1.31,1.59,,,
March,,,,,,4.55,2.08,2.5,,,
April,,,,,,3.61,3.13,3.97,,,
May,,,,,,2.72,2.6,4.02,,,
June,,,,,,0.9,4.38,,,,
July,,,,,,3.48,2.53,,,,
August,,,,,,1.35,2.04,,,,
September,,,,,,5.33,2.83,,,,
October,,,,,,2.93,5.39,,,,
November,,,,,,2.45,4.09,,,,
December,,,,,,3.45,1.82,,,,
Total,,,,,,39.65,34.47,,,,
