DUFFTOWN FIFE STREET VICTORIA TERRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 32599 39910,Long,-3.124589,Lat,57.444482,Elevation,579,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.7,3.14,2.01,3.47,1.16,1.88,1.66,1.8,2.23,2.16,3.37,2.13,3.17,1.95,2.59,3.32,2.27,3.87,3.49,4.49,2.63,3.57,3.85,3.45,1.39,1.86,,,,,
February,3.75,4.4,1.09,2.91,2.96,3.36,3.81,2.41,3.56,2.07,2.16,2.44,1.53,1.22,1.96,4.14,3.82,1.66,2.42,1.33,2.36,0.74,1.92,5.04,2.75,7.02,,,,,
March,3.24,3.49,2.77,1.42,1.03,3.82,4.35,1.93,3.89,7.28,2.19,2.38,2.49,3.69,3.96,3.99,2.87,2.81,1.86,4.16,2.61,1.87,2.88,1.07,1.15,4.55,,,,,
April,1.83,1.97,1.87,3.18,2.61,2.81,2.3,2.43,4.1,4.02,5.39,2.14,1.71,1.42,0.64,2.6,3.64,3.7,1.9,4.87,3.28,1.39,6.11,2.9,1.4,3.61,,,,,
May,1.31,1.51,5.26,3.07,2.5,1.8,6.48,3.41,1.56,3.46,1.89,1.81,3.23,3.79,4.97,1.55,6.01,1.4,1.58,0.6,2.41,1.82,1.69,9.45,4.77,2.72,,,,,
June,2.88,3.58,3.32,2,1.2,0.54,1.29,5.38,1.63,1.92,2.06,3.14,3.01,2.6,2.08,0.98,8.46,3.3,2.89,4.58,0.87,1.92,1.7,2.34,2.24,0.9,,,,,
July,5.06,2.3,5.2,6.04,1.38,2.2,2.15,3.22,4.77,3.76,6.04,3.11,1.55,1.37,4.33,5.88,4.01,2.74,5.28,0.9,3.27,2.85,4.91,3.32,3.78,3.48,,,,,
August,4.67,3.55,3.87,4.05,4.43,4.07,4.71,3.4,3.42,2.74,3.88,1.19,6.39,1.18,2.27,3.01,2.89,5.38,2.55,1.87,3.36,3.5,3.68,5.76,6.22,1.35,,,,,
September,2.79,0.86,2.22,2.58,2.21,2.48,2.13,0.96,5.63,3.34,1.48,1.35,2.5,2.83,2,6.54,1.69,1.66,5,4.12,3.86,1.61,2.85,3.12,5.35,5.33,,,,,
October,3.89,2.93,3.04,4.1,1.69,7.28,6.2,5.49,0.48,4.99,4.47,3.56,3.87,1.18,2.37,3.05,5.05,5.15,2.69,4.36,3.17,2.28,1.98,3.67,,2.93,,,,,
November,3.67,3.35,1.69,4.14,2.95,6.83,8.93,1.95,2.33,2.94,8.16,6.86,3.56,2,6.24,5.81,4.08,6.1,1.75,4.66,1.92,2.13,2.15,6.75,,2.45,,,,,
December,2.97,5.23,4.68,1.75,3.9,0.97,3.45,1.97,2,3.55,4.19,4.34,2.65,4.26,6.31,6.79,3.11,2.7,2.91,3.2,2.17,3.1,1.79,3.68,,3.45,,,,,
Total,39.76,36.31,37.02,38.71,28.02,38.04,47.46,34.35,35.6,42.23,45.28,34.45,35.66,27.49,39.72,47.66,47.9,40.47,34.32,39.14,31.91,26.78,35.51,50.55,,39.65,,,,,
