GRATWICH-CAVERSWALL-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK040315,Long,-1.942006,Lat,52.88095,Elevation,381,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2361/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.09,2.63,3.18,4.2,3.4,2.38,3.3,2.09,5.95,1.79,1.06,2.23,3.12,0.96,1.25,2.4,4.08,2,2.56,3.12,5.21
February,,,,,,,,,,1.83,2.57,1.56,1.08,1.7,2.76,5.64,1.74,1.34,0.74,4.74,2.71,0.85,1.9,2.57,2,0.68,2.09,4.58,0.42,2
March,,,,,,,,,,2.14,3.22,2.17,0.84,0.34,1.33,0.92,5.09,1,1.92,0.93,4.39,2.05,1.48,2.13,2.56,1.62,2.3,1.82,1.78,2.06
April,,,,,,,,,1.77,2.67,1.49,0.85,1.35,2.41,2.06,1.19,2,2.12,3,3.06,2.74,2.88,2.74,0.42,1.7,1.37,0.28,0.63,3.05,1.28
May,,,,,,,,,1.53,2.3,2.84,3.27,2.27,0.79,3.83,1.46,3.04,1.59,1.53,1.25,3.3,2.6,3.05,2.53,3.25,0.78,0.99,2.93,0.56,1.93
June,,,,,,,,,1.67,0.69,1.09,0.05,3.04,2.41,2.86,2.23,1.62,3.58,0.71,1.87,1.56,2.96,2.68,4.5,3.55,2.38,2.21,4.98,1.02,3.17
July,,,,,,,,,4.7,3.45,4.57,2.52,1.38,3.65,1.31,2.15,4.42,2.27,2.59,2.32,1.23,1.72,2.88,2.98,1.17,3.85,3.39,4.07,3.08,3.37
August,,,,,,,,,4.39,0.61,4.42,2.67,2.61,1.85,2.81,5.62,0.97,4.75,1.84,3.82,5.64,2.49,2.48,4.1,1.55,,5.41,3.24,0.82,5.75
September,,,,,,,,,0.82,1.17,0.32,1.48,3.21,3.14,1.85,4.03,1.78,2.52,0.97,4.85,2.57,1.61,2.1,2.98,2.24,3,6.17,3.78,0.11,5.68
October,,,,,,,,,3.27,3.76,3.49,2.73,2.31,3.61,4.21,0.74,0.52,2.33,4.68,1.22,0.85,3.84,1.42,5.4,1.82,1.68,2.23,2.91,2.29,5.7
November,,,,,,,,,4.43,7.03,2.98,1.06,2.54,4.71,0.3,4.99,2.81,1.6,4.15,3.61,7.3,1.5,1.94,5.1,2.1,1.32,1.85,1.79,4.16,4
December,,,,,,,,,1.96,2.58,1.82,3.25,1.17,2.29,2.39,2.79,2.97,4.75,2.89,2.2,2.82,3.42,1.09,4.12,2.56,3.42,1.74,3.77,3.84,3.47
Total,,,,,,,,,,30.32,31.44,24.79,26,30.3,28.09,35.06,29.05,33.8,26.81,30.93,37.34,29.04,24.72,38.08,26.9,,30.66,37.06,24.25,43.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Caverswall Farm. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
