DUNFERMLINE M.W.R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT087873,Long,-3.468139,Lat,56.069784,Elevation,237,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5470/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.3,2.16,1.38,3.98,2.38,4.42,4.04,1.35,2.23,3.8,3.03,2.31,2.6,2.59,2.61,5.81,2.37,1.45,3.54,1.75,0.7,2.5,1.56,2.16,,,,
February,,,2.54,0.2,1.64,3.07,3.91,0.69,3.11,0.84,2.75,1.56,1.44,0.46,3.3,2.01,2.22,2.77,1.36,2.37,2.17,0.56,0.62,1.86,1.77,,,,,
March,,,1.24,3.8,1.38,2.36,2.16,1.12,2.84,3.15,2.58,1.49,1.65,0.3,1.49,2,3.35,1.13,1.01,2.42,2.68,1.69,0.68,2.27,1.47,,,,,
April,,,1.35,4.56,2.98,1.24,1.44,0.16,1.81,2.22,1.32,1.92,1.04,1.64,1.24,0.43,3.04,1.74,1.21,2.68,2.06,0.93,1.89,1.26,0.6,,,,,
May,,,1.89,1.59,0.75,0.86,2.6,4.13,1.14,1.78,3.18,2.89,4.14,2.16,4.13,1.83,3.04,1.83,1.61,1.62,2.09,1.24,2.08,4.6,2.84,,,,,
June,,,1.6,2.11,2.38,1.08,2.25,3.68,1.12,0.44,0.85,1.2,2.71,2.43,2.81,2.04,3.57,4.12,1.32,1.93,2.38,1.85,2.22,2.24,0.94,,,,,
July,,2.47,5.33,4.21,1.53,2.99,4.62,3.52,5.01,5.93,3.74,2.5,2.07,3.16,3.07,4.11,3.23,3.1,2.79,5.66,5.34,2.45,4.56,2.34,0.93,,,,,
August,,0.69,0.89,3.24,2.23,2.29,4.19,1.65,1.39,0.93,3.23,2.25,4.4,3.37,2.35,3.35,0.11,6.74,3.87,3.48,3.17,4.26,2.09,3.26,0.94,,,,,
September,,2.86,1.77,2.58,4.01,3.16,1.26,2.96,2.29,2.34,0.77,3.08,2.55,2.95,4.21,4.6,2,3.77,1.67,6.22,1.78,1.6,3.21,3.78,1.76,,,,,
October,,5.75,2.37,3.54,6.26,1.98,3.06,5.4,1.63,3.75,3.04,2.4,3.78,2.9,4.49,0.43,1.48,2.82,4.68,1.77,0.52,1.75,1.05,7.4,1.86,,,,,
November,,1.62,1.37,0.76,3.44,2.59,0.3,4.7,4.74,2.94,1.92,0.35,1.11,6.13,0.51,5.09,2.75,2.25,2.12,3.24,4.22,2.09,3.76,3.46,1.14,,,,,
December,,5.07,0.91,3.29,1.31,2.8,2.57,2.14,1.12,1.97,1.17,1.64,0.87,2.31,2.55,2.39,1.69,3.23,4.03,1.96,2.71,2.01,3.11,2.96,4.84,,,,,
Total,,,23.56,32.04,29.29,28.4,30.74,34.57,30.24,27.64,26.78,25.08,28.79,30.12,32.75,30.87,29.09,39.31,28.04,34.8,32.66,22.18,25.97,37.93,20.65,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5470/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,888981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
