CHARNWOOD-FOREST-BLACKBROOK-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK457178,Long,-1.3243,Lat,52.755885,Elevation,367,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.92,3.94,1.68,1.34,2.43,3.32,1.17,3.53,1.15,1.12,1.16,1.58,0.99,4.01,2.81,1.47,2.67,1.39,2.19,1.99,3.58,2.87,2.68,3.59,1.62,2.15,1.77,2.6,2.44,4.96,1.66,3.43,1.35,1.87,1.83,2.61,0.61,3.89,3.46,2.59,5.04,2.4,,3.14,4.51,2.45,1.39,1.88,2.12,4.83,1.15,0.67,2.51,2.7,1.02,1.46,1.55,3.68,2.32,2.74,2.95,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.75,3.7,1.39,1.82,0.91,3.42,0.75,2.98,1.3,1.53,0.8,2.21,1.88,1.71,0.95,1.54,2.85,3.79,0.68,1.4,2.18,1.61,0.33,2.37,3.95,0.5,2.73,2.44,2.15,2.25,0.43,0.83,2.48,0.36,3.39,0.5,2.45,2.49,4.05,0.52,1.45,2.94,2.21,0.51,0.76,1.89,2.71,4.75,1.19,1.34,0.78,4.52,3.18,0.61,1.58,2.55,1.82,0.77,3.36,3.86,0.04,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.07,0.8,2.18,1.79,3.88,2.25,3.19,1.93,1.17,2.78,3.16,0.7,2.06,2.97,4.05,2.75,0.86,5.02,1.52,1.14,4.41,2.29,1.54,1.78,1.04,0.9,1.15,1,2.79,1.73,0.13,2.89,0.27,1.63,2.62,1.82,0.67,1.83,2.67,0.23,1.84,1.36,3.5,2.02,1.58,0.05,1.04,0.68,5.18,0.78,1.68,1.46,3.92,2.6,1.43,2.34,3.91,1.4,2.4,1.8,1.61,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.02,1.21,1.64,2.26,2.17,1.29,1.77,0.79,1.8,2.99,1.43,2.17,1.08,0.32,2.4,1.35,0.91,1.55,1.43,1.77,1.43,4.46,0.91,3.19,2.01,1.46,2.07,2.11,1.84,1.3,0.83,3.38,4.03,2.49,1.22,2.93,3.24,1.68,2.55,0,1.54,1.7,1.54,0.96,0.85,2.12,2.21,1.54,1.83,1,3.05,2.62,2.19,2.14,2.7,0.44,1.65,1.4,0.25,0.82,3.15,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.22,1.85,0.82,3.16,2.72,1.54,0.39,2.35,3.54,2.14,1.41,2.63,1.02,3.19,2.06,1.76,1.96,2.58,2.94,2.66,1.3,2.4,1.39,1.55,2.02,3.33,4.85,3.02,1.21,0.97,2.26,2.96,3.09,6.32,2.49,0.98,0.46,0.31,2.42,1.51,1.17,1.08,2.52,3.06,3.48,0.62,3.73,2.11,1.32,2.36,2,1.84,4.24,2.83,2.57,2.97,4.37,0.76,1.02,1.78,0.5,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.58,2.86,2.47,2.1,1.43,0.44,3.44,2.59,3.03,1.81,3.04,1.14,2.23,4.3,1.21,2.4,2,2.26,3.58,0.72,0.97,1.62,0.63,0.97,0.66,2.14,0.03,3,4.61,2.46,1.44,1.92,3.31,0.86,2.49,0.74,3.32,3.52,0.59,1.61,1.48,0.94,0.84,0.2,1.95,1.71,2.64,2.88,1.26,1.71,0.61,1.31,1.53,1.91,2.63,2.92,3.92,3.12,2.19,4.19,1.09,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.54,2.16,4.12,1.33,1.69,2.86,1.2,0.8,3.48,2.83,3.34,3.35,0.22,3.93,1.5,2.79,7.87,2.02,1.94,2.29,3.15,3.84,0.49,4.74,3.75,3,2.1,2.27,2.68,1.37,1.87,5.27,3.95,3.67,2.12,1.16,0.21,5.03,2.83,2.14,4.24,2.51,4.66,2.33,1.13,2.35,2.89,1.82,2.49,1.33,5.26,2.2,1.06,0.52,1.48,3.06,2.07,2.12,2.73,4.19,0.69,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,0.7,4.11,1.56,3.93,4.58,3.81,3.03,1.16,2.53,2.95,2.42,3.33,1.93,6.73,1.44,1.6,2.65,3.51,5.41,1.93,3.29,0.74,4.52,5.72,2.15,2.59,2.03,2.51,3.25,3.83,2.18,1.97,4.48,2.32,0.62,1.84,2.01,0.78,0.43,2.09,4.14,0.12,5.77,2.29,2.5,1.86,2.07,4.06,0.02,4.3,2.23,2.82,5.49,1.86,2.95,5.06,,5.36,2.8,2.15,1.12,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.9,0.58,0.85,1.92,2.72,2.06,1.75,1.15,0.8,1.95,2.68,0.88,1.49,1.04,2.7,0.92,1.13,1.88,1.76,5.35,1.61,1.63,1.39,2.23,3.36,2.55,3.39,1.19,5.72,0.76,0.6,4.72,1.74,2.42,1.77,1.89,4.98,2.33,1.18,1.83,1.1,0.57,0.49,0.85,2.06,3.44,1.15,3.22,1.04,2.54,2.35,3.07,1.62,1.55,1.48,2.32,1.39,1.95,5.85,2.28,0.02,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.11,2.96,1.56,2.22,6.99,0.66,1.45,5.74,4.29,0.73,3.12,2.37,2.3,2.78,4.01,2.21,0.99,2.62,3.72,1.4,1.76,1.5,2.17,0.81,2.47,4.01,3.66,3.11,2.5,4.26,3.69,2.01,0.66,3.2,3.27,1.24,3.76,1.19,3.09,2.46,3.25,3.29,2.66,2.91,2.06,2.62,3.89,1.19,0.29,2.49,5.03,0.93,0.76,2.97,3.28,3.59,1.81,1.49,1.83,2.58,2.31,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
