"TETTONHALL (WATERWORKS)",,,,,,,,,,,,
Grid ref,SJ885001,Long,-2.171217,Lat,52.598567,,,,,,,
Station no,2321,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.05,2.35,0.95,1.29,2.42,3.08,1.46,1.58,3.21,5.55,,
February,2.43,0.47,1.54,2.17,1.55,0.56,2.29,3.84,0.34,2.28,,
March,4.67,1.84,1.01,2.18,2.91,1.04,2.39,1.18,2.01,1.43,,
April,2.22,2.09,2.81,0.49,1.37,1.81,0.14,0.64,3.70,1.05,,
May,2.83,3.36,2.26,2.72,3.98,0.65,1.31,1.85,0.65,1.40,,
June,1.29,2.17,2.99,2.82,2.30,2.46,1.91,4.22,1.34,2.17,,
July,1.06,0.76,2.98,3.48,0.81,2.80,3.17,4.36,1.39,3.82,,
August,4.20,3.80,2.78,4.97,0.90,4.84,3.84,2.43,2.88,2.71,,
September,2.99,1.70,2.49,2.29,2.14,2.45,4.27,3.61,0.22,5.37,,
October,1.06,3.92,1.93,3.48,1.64,2.16,1.63,2.19,2.73,5.75,,
November,6.52,2.28,1.71,4.93,2.41,0.82,2.06,1.93,3.64,4.20,,
December,2.50,3.06,1.21,2.59,1.90,2.82,1.22,2.38,4.07,2.99,,
Total,33.82,27.80,24.66,33.41,24.33,25.49,25.69,30.21,26.18,38.72,,
Calc annual,33.82,27.80,24.66,33.41,24.33,25.49,25.69,30.21,26.18,38.72,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
