KILSYTH ( SEWAGE WORKS ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS716779,Long,-4.059207,Lat,55.976859,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5380/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.55,5.88,2.61,1.96,7.08,5.35,6.46,3.79,6.16,4.55,7.88,5.35,4.39,6.27,4.78,2.65,5.97,3.3,3.33,6.58,4.95,1.76,5.72
February,,,,,,,,1.75,6.97,2.01,4.29,1.58,5.06,2.47,7.21,4.41,2.34,5.19,5.04,5.08,3.13,1.93,2.41,4.54,2.56,1.79,3.98,3.74,2.29,4.09
March,,,,,,,,3.39,4.27,4.61,4.23,2.74,2.76,0.64,4.03,3.53,4.73,4.55,2.57,4.03,5.09,3.65,1.3,3.19,2.03,3.03,5.64,2.32,2.63,2.18
April,,,,,,,2.2,0.81,2.12,3.41,1.81,3.31,3.54,2.86,2.73,1.7,5.57,3.86,5.32,3.42,2.3,2.02,2.83,2.54,2.45,1.3,2.43,1.76,3.55,4.58
May,,,,,,,1.96,4.74,1.13,1.19,3.23,3.77,4.69,4.18,5.2,2.07,4.22,1.84,1.86,1.37,2.14,1.94,2.74,4.39,3.8,2.67,3.08,4.36,1.56,3.78
June,,,,,,,3.69,6.47,2.53,0.85,1.26,2.32,3.87,3.25,5.09,3.44,4.59,6.11,1.51,2.65,3.13,3.82,2.65,4.28,2.15,3.15,2.76,3.95,3.01,3.45
July,,,,,,,3.77,4.74,5.91,4.12,3.63,3.27,2.91,3.25,3.19,4.52,3.7,3.68,3,6.34,5.7,2.9,6.58,2.84,1.47,5.8,4.38,4.6,6.48,4.11
August,,,,,,,4.08,2.53,1.83,2.55,5.53,4.83,7.28,3.93,2.54,4.4,0.03,8.64,5.66,4.99,5.13,5.44,3.7,6.63,1.46,4.89,5.32,6.37,1.45,4.39
September,,,,,,,2.86,4.57,2.59,4.46,1.76,5.88,3.18,4.88,5.44,7.89,5.1,7.66,2.11,10.26,3.68,3.75,4.69,7.26,4.02,5.82,3.48,4.46,1.6,2.58
October,,,,,,,4.16,9.2,3.02,5.13,5.21,7.05,9.32,4.57,6.14,0.57,2.27,7,7.19,3.86,1.35,3.68,2.91,11.28,4.18,4.16,5.68,3.95,5.06,3.83
November,,,,,,,0.87,8.58,9.57,5.68,3.29,0.81,2.66,8.81,0.76,6.55,6.14,3.94,4.04,3.8,6.72,2.67,7.04,7.32,2.35,1.82,2.37,2.62,7.21,6.49
December,,,,,,,3.05,3.04,2.31,5.15,2.8,4.21,2.18,6.2,3.51,4.39,2.9,5.61,9.37,2.36,7.1,5.05,5.24,7.57,7.77,5.82,5.74,5.85,7.05,5.99
Total,,,,,,,,57.37,48.13,41.77,39,46.85,52.8,51.5,49.63,49.63,46.14,65.96,53.02,52.55,51.74,41.63,44.74,67.81,37.54,43.58,51.44,48.93,43.65,51.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5380/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,657711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
