EGREMONT LANK RIGG,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY090118,Long,-3.4064415,Lat,54.493338,Elevation,1750,ft,,,,,,,,,,,,,
Station no,3654,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.55,5.9,6.8,4.45,7.4,6.95,14.3,2.05,9.8,7,9.3,6.2,,,,,,,
February,,,5.8,7.6,1.6,5.7,9.55,6.35,6.05,1.85,0.3,6,0,,,,,,,,
March,,,2.9,2.5,1.85,2.1,2.45,5.3,5.6,2.4,3.6,1.4,4.5,,,,,,,,
April,,,2.95,4.3,3.2,5.5,4.3,2.85,3.75,2,3.5,3,4,,,,,,,,
May,,,7.45,4.7,8.4,10.1,5.3,3.75,1.2,5.35,3.7,4.8,6.3,,,,,,,,
June,,,6.7,3.65,7.45,1.5,5.54,6.45,7.3,5,4.8,10,2.9,,,,,,,,
July,,4.9,10.75,8.85,11,4.7,6.9,9.75,13.25,11.4,5.4,11.9,8.8,,,,,,,,
August,,10.7,8.85,13.65,8,8.5,7.2,6.85,11.95,12.85,12.1,5.4,4.8,,,,,,,,
September,,3.1,4.55,10.85,15.45,5.65,8.25,13.5,8.35,2.6,3.8,4.4,8.6,,,,,,,,
October,,4.8,4.25,14.7,7.2,10.1,4.65,6.75,12.8,11.9,13.2,6.9,11,,,,,,,,
November,,4.35,4.6,8.5,7.5,3.25,9.65,9,13.9,16.1,7.5,14,4.6,,,,,,,,
December,,8.95,8.25,8.4,12.7,6.3,9.8,0.95,5.55,10.6,5.3,8.9,11.4,,,,,,,,
Total,,,71.6,93.6,91.15,67.85,80.99,78.45,104,84.1,73,83.7,76.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1927 total arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,,
