SPENNITHORNE - SOUTH SIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE137887,Long,-1.791,Lat,54.294,Elevation,358,ft,,,,,,,,,,,,,,,,,,,
Station no,3422,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.59,5.23,4.11,4.55,6.34,2.06,4.29,3.52,4.92,2.53,3.59,2.66,3.00,7.22,0.98,1.37,2.69,2.29,0.44,2.53,2.71,3.64,3.05,2.98,3.02,4.44
February,,4.44,3.34,4.73,1.34,2.23,2.18,5.54,1.81,2.15,1.95,2.86,1.89,3.55,2.02,1.89,4.81,3.61,0.39,2.82,2.83,1.93,1.80,2.62,4.63,0.07,2.83
March,,0.87,1.96,3.86,0.23,2.77,1.53,3.26,2.91,1.09,0.67,0.53,1.33,4.96,2.51,0.97,0.84,3.42,1.48,0.63,2.14,2.07,1.16,1.41,2.11,1.71,2.60
April,,2.76,1.33,3.00,0.17,1.57,1.86,2.95,1.41,1.41,2.04,1.29,1.63,5.52,2.23,2.45,2.24,1.97,1.53,2.46,0.39,0.46,1.50,0.19,0.75,2.99,1.30
May,,0.83,1.79,3.05,2.97,1.28,2.02,1.67,2.93,3.20,1.27,2.87,3.13,2.08,1.27,1.21,1.57,7.03,1.79,2.02,4.01,2.72,0.55,1.44,3.69,0.49,1.33
June,,2.83,6.88,1.73,2.65,1.78,0.23,0.81,0.91,1.81,1.61,2.10,2.09,2.92,3.59,0.72,0.97,1.02,0.88,2.81,2.10,2.53,2.39,1.45,3.40,1.46,0.72
July,,0.77,2.85,1.62,3.26,3.17,4.26,1.51,2.08,1.10,2.72,2.32,2.61,1.69,0.92,1.81,3.36,1.01,0.76,2.81,2.36,0.70,3.81,2.83,2.98,1.15,3.76
August,2.01,2.48,1.47,1.44,2.87,3.45,0.38,1.95,2.58,4.05,1.60,4.40,5.35,0.19,3.27,2.91,5.31,4.47,2.82,3.18,5.97,0.66,7.00,6.01,2.37,0.70,3.01
September,1.54,4.93,3.02,1.11,1.87,1.24,1.29,0.28,1.71,4.18,5.33,1.67,4.86,2.29,1.87,2.08,3.35,0.96,4.07,2.49,2.62,1.04,3.69,3.08,3.35,0.18,3.61
October,3.84,4.66,1.96,2.34,5.74,4.24,3.86,3.83,1.96,2.36,3.89,5.49,1.44,0.98,0.83,4.03,1.31,1.95,3.50,2.06,5.57,1.96,1.31,2.43,2.23,2.85,6.70
November,1.97,5.84,2.97,2.09,4.88,3.64,3.94,3.48,1.32,1.83,5.31,0.76,6.41,2.34,1.22,4.29,4.91,8.29,1.75,1.77,6.49,2.43,0.74,2.14,0.62,5.83,5.05
December,5.67,2.36,3.59,3.56,3.97,1.39,2.64,0.94,2.97,2.02,3.37,1.65,3.00,2.25,3.71,4.03,1.65,4.80,1.92,1.49,3.51,4.28,3.58,3.05,4.21,6.35,3.60
Total,,34.36,36.39,32.64,34.50,33.10,26.25,30.51,26.11,30.12,32.29,29.53,36.40,31.77,30.66,27.37,31.69,41.22,23.18,24.98,40.52,23.49,31.17,29.70,33.32,26.80,38.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/300,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/156,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/248,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The gauge came from Spennithorne School in August 1934 (same observer, Mr Curtis).",,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1961 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
