SPENNITHORNE SCHOOL,,,,,,,,,,
Grid ref,SE137892,Long,-1.791,Lat,54.298,Elevation,416,ft,,
Station no,3422,,,,,,,,,
,,,,,,,,,,
,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934
January,,3.22,2.57,4.79,1.31,5.74,2.29,3.12,2.37,2.38
February,,2.42,1.60,2.74,0.93,1.43,2.31,0.82,5.48,0.22
March,2.65,1.13,2.63,3.28,0.10,3.06,0.83,1.90,1.88,3.46
April,4.23,1.21,2.19,0.67,0.87,3.93,3.73,2.34,1.26,3.53
May,3.61,2.60,1.83,2.81,1.25,1.08,3.72,3.96,3.26,1.73
June,0.10,2.70,2.35,4.70,1.15,1.76,3.83,1.86,1.33,1.56
July,1.45,,-999.00,,-999.00,,3.59,3.86,,1.55
August,3.43,,-999.00,,-999.00,,4.04,1.49,,
September,2.35,2.39,4.77,0.30,0.87,4.34,3.60,2.13,,
October,3.02,3.60,3.23,5.21,3.34,2.89,1.13,3.64,,
November,1.95,4.93,2.54,3.82,3.91,3.64,3.74,1.99,3.50,
December,4.41,0.46,3.12,1.84,6.75,3.67,1.29,1.54,0.77,
Total,,,37.17,,25.38,,34.10,28.65,,
,,,,,,,,,,
TYRain_1920-1930_23_pt1/157,,,,,,,,,,
TYRain_1931-1940_19_pt1/300,,,,,,,,,,
,,,,,,,,,,
# July and August readings for 1926-1930 are marked as estimates or allocated:,,,,,,,,,,
# 1927 and 1929 are allocated and have been retained,,,,,,,,,,
"# 1926, 1928 and 1930 are estimated and have been omitted.",,,,,,,,,,
# Readings for July-October 1933 are estimates and have been omitted.,,,,,,,,,,
#,,,,,,,,,,
# The gauge moved 400 yards to the southern side of the village in August 1934.,,,,,,,,,,
