"MORPETH ASHINGTON, BOTHAL SCHOOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ259877,Long,-1.594813,Lat,55.182916,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,3.43,1.91,1.99,0.91,2.82,3.15,3.22,2.36,3.96,3.04,1.35,2.01,1.19,2.34,1.43,2.93,1.79,2.54,2.04,1.12,1.89,1.52,2.02,3.94,2.43,2.4,4.64,1.92,2.65,2.77,2.65,,,,,,,
February,,,,0.44,1.14,2.32,2.11,1.05,1.39,1.75,1.2,0.21,2.15,3.15,1.14,2.77,2.92,0.74,0.9,0.92,1.27,0.97,0.52,2.12,0.31,1.66,2.53,3.03,0.77,0.86,1.78,5.72,1.29,0.3,1.87,,,,,,
March,,,,2.25,2.4,1.8,2.89,2.42,1.04,2.06,2.69,0.65,1.8,1.49,0.9,1.4,0.57,1.73,1.8,0.32,1.96,0.76,1.69,1.2,3.14,0.9,1.99,3.95,0.34,2.25,2.3,2.44,0.82,0.61,0.59,,,,,,
April,,,,2.7,0.48,0.62,1.36,2.22,0.99,1.48,3.01,0.74,1.38,1.81,1.46,2.7,1.05,2.01,1.23,1.48,1.83,3.03,1.05,1.39,5.08,3.29,1.19,2.13,0.16,0.76,0.66,1.5,0.7,1.19,2.55,,,,,,
May,,,,2.52,1.32,1.73,2.45,2.29,3,0.61,3.23,1.58,0.66,1.6,5.98,3.01,2.19,1.56,1.37,1.01,1.38,2.37,3.61,1.16,1.04,1.06,1.61,3.08,3.38,1.02,0.67,1.44,1.13,2.94,2.57,,,,,,
June,,,,1.6,2.73,0.46,2.01,0.92,0.57,0.51,0.71,0.5,1.23,0.92,2.05,0.05,2.67,4.26,3.98,1.6,0.49,2.9,0.94,1.09,1.74,2.26,2.52,1.4,2.82,1.73,0.65,1.69,1.14,1.88,1.89,,,,,,
July,,,,0.71,2.46,2.92,2.93,0.97,2.62,1.18,3.74,1.83,3.91,1.62,4.72,2.36,3.82,2.45,1.41,2.91,3.94,2.83,2.39,1.17,3.99,0.39,2.77,2.4,2.26,2.29,5.55,1.08,3.36,2.59,3.86,,,,,,
August,,,,0.98,2.31,2.94,1.91,5.63,1.23,1.96,1.77,6.45,1.88,3.35,2.63,3.08,2.16,4.52,4.09,2.88,4,3.32,2.59,1.85,3.44,1.9,1.7,2.06,1.67,1.34,0.85,2.41,2.03,2.95,1.34,,,,,,
September,,,,2.53,1.32,2,1.53,1.78,4.98,1.16,1.3,1.17,4.21,1.85,2.84,3.27,2.84,3.33,0.9,0.85,2.97,1.89,2.98,1.45,1.53,3.84,3.6,1.71,1.77,0.83,1.29,0.53,2.41,2.81,5.43,,,,,,
October,,,,1.43,2.05,1.66,2.69,1.96,2.08,4.15,1.72,2.93,1.66,1.89,3.22,1.84,2.92,2.01,2.15,2.45,2.17,1.16,3.29,4.06,3.39,4,1.46,2.44,3.31,5.04,2.37,3.43,2.1,2.3,2.98,,,,,,
November,,,,1.31,2.92,1.71,3.29,0.94,0.72,3.63,0.78,2.24,0.98,3.53,0.99,2.17,3.38,3.17,2.49,3.66,3.54,3.18,0.66,3.13,2.45,3.09,2.58,1.37,2,2.08,3.07,2.74,0.65,1.67,4.37,,,,,,
December,,,,1.15,3.09,5.45,4.21,2.1,2.23,2.81,4.11,1.34,2.89,1.97,1.97,4.1,0.64,2.58,1.44,3.17,2.65,1.32,0.95,1.07,3.85,2.1,1.39,5.89,3.1,1.23,2.78,0.35,1.86,0.99,1.34,,,,,,
Total,,,,21.05,24.13,25.6,28.29,25.1,24,24.52,26.62,23.6,25.79,24.53,29.91,27.94,27.5,29.79,24.69,23.04,28.74,25.77,21.79,21.58,31.48,26.51,27.28,31.89,23.98,24.07,23.89,25.98,20.26,22.88,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944 Jan and total deleted ""too much estimation""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
