LANDCROSS-SOUTH-CLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS460239,Long,-4.1947,Lat,50.9944,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.92,1.41,4.93,4.71,5.62,4.34,3.51,2.18,3.81,3,5.68,5.77,6.52,1.69,6.69,4.05,5.38,3.64,4.71,,,,,,
February,,,,,,,7.03,1.16,2.38,3.42,1.56,0.24,4.22,7.22,0.77,6.21,2.38,2.64,3.97,1.36,1.85,3.08,0.03,3.33,0.29,,,,,,
March,,,,,,,3.18,2.58,1.55,4.81,3.72,2.42,3.9,1.6,1.63,0.79,0.38,3.23,3.92,0.53,2.66,1.98,1.97,3.23,2.97,,,,,,
April,,,,,,,0.93,2.2,1.72,2.32,4.57,0.59,3.51,2.29,2.93,2.15,1.37,1.69,1.7,0.78,2.17,2.7,2.01,1.54,2.96,,,,,,
May,,,,,,,2.05,1.83,0.9,0.95,2,1.57,1.24,1.83,3.37,3.81,1.54,0.93,1.36,3.58,1.99,3.46,3.13,2.65,2.19,,,,,,
June,,,,,,,2,5.08,1.13,1.39,1.87,0.16,1.07,0.65,1.55,0,1.71,2.58,2.74,2.17,0.64,3.58,1.18,1.44,2.42,,,,,,
July,,,,,,,0.69,2.21,4.51,0.74,4.05,0.99,2.27,2.61,3.75,2.78,1.52,3.19,2.09,3.53,3.76,4.75,3.39,1.87,0.49,,,,,,
August,,,,,,,3.29,4.96,2.64,2.36,1.56,2.3,3.27,3.02,3.9,3.17,2.16,5.17,3.48,3.07,3.81,4.73,2.4,1.83,4.85,,,,,,
September,,,,,,,2.38,2.46,8.09,1.75,3.11,2.08,2.43,2.94,4.92,3.56,1.27,8.57,1.58,0.51,5.23,1.7,4.5,2.01,4.07,,,,,,
October,,,,,,4.1,5.92,7.11,2.12,1.62,4.93,1.55,1.63,5.45,4.97,3.98,2.83,2.7,7.99,7.7,5.71,1.09,9.27,6.16,3.97,,,,,,
November,,,,,,2.97,4.04,2.54,3.33,4.43,2.59,2.85,1.82,3.83,2.92,3.66,7.81,4.43,4.87,10.93,4.74,8.18,2.99,1.3,2.24,,,,,,
December,,,,,,8.32,3.35,1.04,5.71,6.59,4.01,2.75,6.26,3.8,5.55,4.25,0.66,2.91,5.51,9.34,5.66,2.59,3.05,1.98,8.76,,,,,,
Total,,,,,,,36.78,34.58,39.01,35.09,39.59,21.84,35.13,37.42,40.07,37.36,29.31,43.81,45.73,45.19,44.91,41.89,39.3,30.98,39.92,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown but this seems likely for elevation and distance to church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 June 4 Moved 30yds SSE Now clear of any object likely to affect gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
