EAST HECKINGTON,,,,,,,,,,,,,,,
Grid ref,TF193443,Long,-0.224,Lat,52.983,Elevation,16,ft,,,,,,,
Station no,2541/2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946
January,0.70,1.30,1.43,2.06,,,,,,2.58,2.17,4.27,2.26,1.81,1.07
February,0.66,1.98,0.88,1.59,,,,,,2.30,0.84,0.47,1.88,1.45,1.40
March,1.35,2.21,1.61,0.55,,,,,,3.31,1.48,0.26,0.16,0.43,1.22
April,2.21,1.43,1.80,2.36,,,,,,0.68,0.57,0.68,1.85,1.03,0.72
May,4.47,1.43,0.67,0.35,,,,,,1.92,3.23,2.11,1.43,0.92,1.42
June,0.41,1.99,0.80,1.88,,,,,,0.20,1.33,1.75,1.69,2.25,2.52
July,5.63,1.31,1.58,0.56,,,,,,5.50,2.28,1.36,1.01,1.77,1.96
August,1.79,0.83,2.40,2.13,,,,,,4.37,1.89,2.28,2.38,2.35,2.49
September,2.43,2.39,1.20,2.27,,,,,,0.76,1.49,2.42,3.23,0.61,2.94
October,3.29,3.15,0.83,2.26,,,,,,3.21,2.02,0.76,2.22,2.64,2.37
November,1.41,1.81,1.66,3.81,,,,,,2.85,2.12,1.41,3.45,0.39,4.12
December,0.48,0.32,3.48,2.31,,,,,,0.36,1.17,0.64,1.14,1.86,2.46
Total,24.83,20.15,18.34,22.13,,,,,,28.04,20.59,18.41,22.70,17.51,24.69
,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/112,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/197,,,,,,,,,,,,,,,
