"ROMSEY (TIMSBURY PUMPING STATION)",,,,,,,,,,,,
Grid ref,SU346255,Long,-1.508002,Lat,51.027832,,,,,,,
Station no,657,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.07,2.29,0.86,2.53,3.20,4.92,2.26,3.72,3.70,4.29,,
February,6.31,0.56,1.66,2.43,1.52,0.12,3.90,2.53,0.15,2.71,,
March,3.79,3.05,0.49,3.11,1.12,1.09,2.28,1.92,3.55,2.10,,
April,2.85,1.64,2.62,0.23,0.43,1.88,0.09,0.82,2.71,1.17,,
May,2.95,2.91,1.93,2.42,4.36,0.33,1.48,2.50,0.74,1.24,,
June,0.95,1.45,1.41,3.48,2.47,1.80,1.50,4.23,0.88,3.93,,
July,2.42,0.18,3.03,2.97,0.10,2.41,4.12,1.32,1.76,4.03,,
August,4.10,3.67,2.63,3.28,0.43,3.35,2.41,4.38,1.32,3.90,,
September,4.02,3.37,2.28,2.53,1.28,4.39,3.24,4.65,0.06,4.91,,
October,0.74,4.47,4.07,2.50,4.07,2.32,2.56,3.26,2.75,10.40,,
November,8.93,3.57,1.54,6.34,2.69,0.61,2.96,2.66,4.31,4.76,,
December,2.92,2.79,0.82,3.04,4.18,5.56,3.18,3.72,7.56,4.05,,
Total,43.05,29.95,23.34,34.86,25.85,28.78,29.98,35.71,29.49,47.49,,
Calc annual,43.05,29.95,23.34,34.86,25.85,28.78,29.98,35.71,29.49,47.49,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
