ALDFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ420590,Long,-2.8681908,Lat,53.124998,Elevation,46,ft.,,,,,,,,,,,,
Station no,RR7992,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.71,1.22,1.74,0.48,4.32,2.35,1.67,2.24,,,,
February,,,,,,,,,1.57,0.71,2.6,1.27,0.77,1.28,2.29,2.72,,,,
March,,,,,,,,,2.62,2.01,1.1,1.05,2.75,3.81,3.08,0.42,,,,
April,,,,,,,,,2.37,1.22,2.18,0.53,0.29,4.36,0.74,1.24,,,,
May,,,,,,,,,3.3,1.01,2.16,1.31,2.77,2.92,1.34,2.52,,,,
June,,,,,,,,,2.12,3.72,2.16,2.38,3.34,1.97,1.45,0.66,,,,
July,,,,,,,,,2.14,2.64,3.01,0.49,2.76,1.12,4.19,5.52,,,,
August,,,,,,,,,3.74,2.35,3.11,2.49,5.01,2.1,2.77,3.79,,,,
September,,,,,,,,,3.5,3.25,0.49,4.08,1.23,1.07,2.31,0.47,,,,
October,,,,,,,,4.2,2.01,3.45,2.23,1.94,2.86,2.9,2.17,2.96,,,,
November,,,,,,,,2.25,2.09,0.77,5.11,2.27,2.96,2.01,2.11,3.04,,,,
December,,,,,,,,2.03,2.54,5.27,3.87,4.46,1.8,1.74,5.01,5.72,,,,
Total,,,,,,,,,29.71,27.62,29.76,22.75,30.86,27.63,29.13,31.3,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Aldford with the stated relationship to the church at the stated altitude. NGR could be +/- 200m,,,,,,,,,,,,,,,,,,,,
