ROYSTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid Ref,TL357403,Long,-0.0226,Lat,52.0449,Elevation,269,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,0.84,1.41,,2.3,,-999,0.38,,2.05,-999,2.09,2.55,0.84,2.29,3.28,0.68,0.74,2.59,1.3,1.71,2.79,1.09,3.39,2.89,2.78,2.6,2.63,0.82,0.67,2.92,2.64,1.4,2.09,1.9,3.17,1.66,2.4,0.22,1.35,1.17,1.51,1.75,1.64,2.46,1.54,0.66,0.95,1.8,1.57,0.86,1.63,1.56,2.45,0.81,2.24,0.76,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.84,0.8,,0.93,,-999,1.77,0.52,0.48,-999,2.02,1.01,1.91,0.84,0.35,1.35,1.88,1.13,2.06,0.41,0.52,0.72,2.86,2.78,1.12,1.3,2.11,1,1.3,1.09,2.32,1.22,0.75,2.14,1.94,1.11,3.11,1.98,2.74,1.76,3.26,0.56,1.89,0.3,0.66,1.25,1.8,0.8,0.02,1.92,2.92,1.52,0.22,0.49,2.32,0.96,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.85,1.6,0.73,1.89,0.77,-999,0.79,0.2,2.75,-999,1,0.41,1.57,0.41,1.43,0.81,1.37,2.18,1.91,3.07,0.67,3.75,1.36,1.34,2,1.77,1.79,2,1.32,2.11,1.49,0.86,0.47,2.37,1.81,1.03,0.78,1.05,1.18,1.23,0.81,0.94,0.96,1.5,1.33,2.59,1.23,2.38,1.63,0.99,0.17,0.93,1.81,3.27,3.55,1.55,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.54,0.1,1.38,2.02,0.89,-999,1.71,2.19,1.75,0.39,2.76,1.55,0.28,1.42,1.95,2.99,1.87,1.38,0.83,1.88,0.59,0.71,0.3,1.64,2.13,1.42,2.2,0.38,2.18,1.81,0.74,1.37,1.42,2.37,2.31,1.73,2.59,1.71,1.02,2.91,2.07,1,2.12,1.21,1.17,2.02,2.44,0.63,0.57,0.78,0.13,0.76,0.83,0.85,1.44,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,4.38,0.66,2.21,0.94,2.13,0.43,3.24,2.05,1.12,2.3,1.55,2.99,1.86,2.62,0.96,2.59,1.86,3.41,0.97,2.99,0.95,2.28,1.63,1.62,3.6,0.54,3.6,0.74,0.97,2.75,1.7,1.01,1.9,0.6,2.54,3.89,3,0.64,0.66,1.04,1.2,0.44,2.76,4.55,2.41,0.97,3.46,1.84,3.01,1.28,1.15,1.6,0.66,0.3,1.04,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.25,1.65,1.41,1.38,0.35,2.12,2.93,0.54,0.52,1.21,3.26,2.78,0.44,1.99,1.47,1.97,0.72,1.87,4.45,1.9,2,2.48,1.26,2.13,2.17,0.81,0.52,1.12,1.17,2.92,2.7,1.09,1.26,2.88,1.64,1.16,1.47,5.1,3.48,1.69,2.28,5.11,1.27,2.27,0.67,0.42,1.52,2.47,1.84,2.17,2.46,0.66,1.97,0.39,2.02,2.14,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.64,3.25,1.56,1.93,2.59,1.68,1.58,3.13,4.09,3.65,3.32,2.53,1.38,5.14,1.14,2.89,3.42,3,1.42,3.29,1.19,0.53,0.38,3.54,2.47,3.39,0.2,0.59,1.48,2.1,2.76,1.45,0.53,4.52,0.86,3.69,0.33,3.46,4.54,1.77,1.92,2.7,2.08,0.21,2.58,0.62,3.49,2.89,3.83,2.32,3.6,3.48,2.7,3.84,0.65,0.48,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.85,2.98,2.3,2,2.01,1.86,3.36,1.02,1.06,1.45,4.07,2.75,1.93,1.64,2.7,2.43,2.35,2.88,3.85,0.66,3.04,2.19,0.36,3.74,2.77,1.79,4.89,0.95,1.58,0.43,1.95,2.94,1.17,1.57,1.45,3.34,4.39,5.44,1.14,4.61,1.12,1,2.11,2.06,1.4,1.14,2.5,1.54,1.42,3.54,3.18,2.49,2.9,5.12,2.38,3.17,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.64,0.53,,1.03,2.64,1.67,3.61,3.2,0.73,0.94,2.73,1.25,0.76,1.27,2.81,3.99,1.32,2.14,3.03,1.03,2.01,1.98,1.96,0.73,3.2,2.73,2.47,2.76,1.5,4.9,0.88,1.9,2.8,2.66,4.43,1.49,0.79,2.28,3.28,1.5,1.69,4.26,1.59,3.15,1.12,2.48,1.44,2.05,0.17,1.2,2.81,1.01,1.38,0.79,5.25,2.8,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.19,4.23,,1.11,3.25,2.44,3.74,1.86,1.53,1.31,3.63,1.69,2.09,4.99,2.25,5.67,1.47,3.44,1.21,1.08,2.7,1.7,1.32,6.56,1.44,2.38,2.23,0.95,2.73,0.52,3.39,2.36,2.19,3.66,0.85,0.87,1.97,0.59,4.87,1.98,5.2,1.74,1.49,4.39,2.65,1.92,0.76,3.8,1.67,5.05,3.84,3.11,2.65,1.99,2.96,0.69,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
