"GLEN AFFRIC (AFFRIC LODGE)",,,,,,,,,,,,
Grid ref,NH185230,Long,-5.011024,Lat,57.261528,,,,,,,
Station no,5713/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.40,7.96,5.13,7.47,3.86,8.51,14.01,9.41,3.08,4.89,,
February,3.64,3.48,4.23,5.06,5.50,4.52,5.57,5.40,4.07,4.22,,
March,3.39,4.63,2.50,3.90,2.60,3.68,4.97,2.30,3.58,1.41,,
April,5.19,3.41,4.33,2.74,2.45,2.88,2.18,4.45,6.20,7.18,,
May,1.24,3.08,5.75,5.13,3.76,5.08,1.93,6.88,1.49,1.52,,
June,2.28,3.63,1.20,2.91,1.95,2.71,3.04,2.79,4.35,2.66,,
July,2.75,2.22,4.61,2.91,0.82,4.42,4.38,2.85,6.70,3.40,,
August,4.36,5.32,5.49,4.37,1.02,6.73,6.82,4.18,4.14,5.12,,
September,4.45,4.05,4.86,8.05,6.49,4.53,4.87,4.42,1.41,3.01,,
October,2.41,8.47,3.17,11.27,6.98,7.44,10.11,11.02,9.76,2.08,,
November,7.82,4.48,10.93,7.95,2.97,8.48,3.71,1.77,8.52,5.45,,
December,10.14,7.07,7.48,16.33,12.42,11.62,10.50,4.89,8.69,8.95,,
Total,55.07,57.80,59.68,78.09,50.82,70.60,72.09,60.36,61.99,49.89,,
Calc annual,55.07,57.80,59.68,78.09,50.82,70.60,72.09,60.36,61.99,49.89,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
