STANHOE-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TF799370,Long,0.67324302,Lat,52.900328,Elevation,210,ft,,,,,,,,,,,,
Station no,1445/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.65,1.95,3.06,3.65,2.46,2.78,2.3,2.01,,,
February,,,,,,,,,,1.95,2.78,1.33,0.63,1.89,1.91,2.88,3.87,,,
March,,,,,,,,,,1.84,2.61,1.32,0.5,0.43,1.54,0.68,5.56,,,
April,,,,,,,,,,1.62,0.99,0.82,0.93,1.65,1.72,0.76,2.1,,,
May,,,,,,,,,,1.67,1.92,2.55,1.98,1.48,1.78,1.25,0.18,,,
June,,,,,,,,,,0.38,0.77,1.36,1.67,2.47,2.46,2.02,1.71,,,
July,,,,,,,,,,2.73,2.61,3.82,1.61,2.61,1.38,3.67,1.47,,,
August,,,,,,,,,,1.16,3.68,2.55,1.61,1.42,2.7,3.44,0.05,,,
September,,,,,,,,,,1.48,0.72,1.94,1.84,4.38,2.13,3.08,0.87,,,
October,,,,,,,,,,3,3.48,2.8,1.51,4.17,2.22,2.56,0.24,,,
November,,,,,,,,,,5.54,2.54,3.5,2.28,4.55,1.16,4.51,1.54,,,
December,,,,,,,,,,2.08,0.83,2.44,0.97,1.53,2.87,2.4,2.22,,,
Total,,,,,,,,,,25.1,24.88,27.49,19.18,29.04,24.65,29.55,21.82,,,
